鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
彰化市,中正里,515,584155,1134,568,327,1017,5490.92,484.09
彰化市,文化里,425,370112,871,587,338,1042,1088.28,124.97
彰化市,新興里,1891,1693011,895,640,353,1117,906.98,101.30
彰化市,下?里,1829,1776039,971,646,364,1198,1467.82,151.16
彰化市,民生里,530,522569,986,611,339,1167,1420.22,144.04
彰化市,興北里,560,468277,836,632,321,1084,732.37,87.58
彰化市,信義里,309,328202,1062,694,370,1256,1453.34,136.83
彰化市,陽明里,620,567209,915,619,349,1097,1200.83,131.26
彰化市,萬安里,1409,1216939,864,600,341,1086,927.33,107.37
彰化市,新華里,515,411100,798,580,353,984,770.01,96.46
彰化市,光華里,284,244819,862,531,277,1174,886.21,102.80
彰化市,光復里,282,296923,1053,585,287,1115,1569.18,149.03
彰化市,龍山里,673,622540,925,663,375,1176,967.75,104.62
彰化市,中山里,238,206758,869,613,360,1083,865.09,99.58
彰化市,永福里,309,425980,1379,707,360,1331,6755.09,490.01
彰化市,永生里,420,312367,744,507,288,882,803.89,108.09
彰化市,桃源里,683,544464,797,522,305,890,1036.34,130.00
彰化市,大同里,331,290358,877,541,281,1021,1084.61,123.64
彰化市,東興里,568,554764,977,635,379,1180,1060.75,108.61
彰化市,卦山里,891,851781,956,618,340,1126,1517.20,158.71
彰化市,彰安里,1028,862611,839,545,297,1009,1039.51,123.88
彰化市,福安里,390,337158,865,641,312,1108,790.51,91.44
彰化市,西安里,990,1005298,1015,606,340,1131,2561.00,252.20
彰化市,成功里,525,491709,937,614,315,1094,1234.61,131.82
彰化市,南瑤里,2798,2563313,916,616,351,1105,1384.28,151.10
彰化市,華陽里,557,475943,854,589,344,1010,1223.69,143.21
彰化市,延和里,1731,1688138,975,594,343,1114,2039.83,209.16
彰化市,延平里,3050,2821678,925,622,353,1130,1161.95,125.60
彰化市,華北里,511,410475,803,569,328,1046,773.12,96.25
彰化市,南興里,2513,2082989,829,601,331,1050,832.49,100.43
彰化市,富貴里,322,246948,767,551,259,952,845.95,110.31
彰化市,介壽里,750,661614,882,613,350,1055,1059.50,120.10
彰化市,光南里,544,726111,1335,641,348,1077,10245.36,767.58
彰化市,民權里,333,266246,800,577,288,920,1022.71,127.91
彰化市,萬壽里,315,253414,804,537,286,915,1063.25,132.17
彰化市,中央里,293,268578,917,552,305,927,1752.29,191.16
彰化市,忠孝里,436,497697,1142,689,382,1225,2020.48,177.00
彰化市,五權里,1393,1137765,817,586,347,1013,928.23,113.65
彰化市,西興里,1174,1027476,875,610,336,1071,872.55,99.70
彰化市,忠權里,1115,940375,843,602,337,1083,829.09,98.30
彰化市,長樂里,369,299134,811,535,257,977,948.23,116.97
彰化市,西勢里,1316,1190484,905,625,324,1205,888.79,98.25
彰化市,莿桐里,1100,899388,818,529,300,935,2315.72,283.22
彰化市,南安里,740,457154,618,472,268,769,617.17,99.90
彰化市,東芳里,1091,751554,689,515,303,869,624.35,90.63
彰化市,南美里,587,428075,729,525,297,883,760.40,104.27
彰化市,平和里,1523,1154805,758,554,313,947,708.64,93.46
彰化市,磚?里,1095,808765,739,511,288,867,1963.98,265.91
彰化市,阿夷里,2812,2495190,887,630,356,1141,931.05,104.93
彰化市,古夷里,792,545343,689,491,302,849,658.96,95.70
彰化市,寶?里,353,243579,690,503,284,878,607.86,88.09
彰化市,茄苳里,307,208622,680,458,270,795,710.52,104.56
彰化市,茄南里,976,725178,743,540,305,903,784.03,105.52
彰化市,和調里,948,767067,809,568,330,983,813.16,100.50
彰化市,大竹里,1063,776732,731,541,312,910,703.64,96.30
彰化市,竹中里,545,380099,697,510,313,828,642.70,92.15
彰化市,安溪里,601,440091,732,551,332,930,622.28,84.98
彰化市,香山里,1093,832388,762,584,334,951,680.38,89.34
彰化市,牛埔里,892,601335,674,522,312,847,557.29,82.67
彰化市,三村里,311,217776,700,461,288,771,751.28,107.29
彰化市,國聖里,841,645223,767,505,290,863,1378.37,179.66
彰化市,福山里,2217,1521710,686,525,310,858,630.36,91.84
彰化市,中庄里,845,616173,729,561,330,926,646.54,88.66
彰化市,快官里,340,300740,885,555,345,893,1510.37,170.75
彰化市,竹巷里,232,149322,644,498,306,793,545.80,84.80
彰化市,福田里,352,206931,588,466,305,757,474.98,80.80
彰化市,石牌里,294,294144,1000,541,335,863,5202.21,519.97
彰化市,田中里,257,182903,712,543,340,841,603.03,84.73
彰化市,建寶里,826,747045,904,648,352,1185,937.83,103.69
彰化市,復興里,1522,1200844,789,563,316,984,874.24,110.80
彰化市,臺鳳里,1435,907850,633,503,289,816,498.63,78.82
彰化市,向陽里,1834,1801920,983,676,376,1212,1300.18,132.33
彰化市,崙平里,1836,1549803,844,591,336,1015,1395.61,165.33
彰化市,其他,2,1366,683,683,564,801,334.85,49.04
彰化市,合計,65397,55402631,847,578,327,1019,1656.48,195.53
鹿港鎮,詔安里,589,341553,580,419,264,706,730.36,125.95
鹿港鎮,洋厝里,654,457260,699,503,306,853,822.32,117.61
鹿港鎮,海埔里,984,629643,640,487,291,800,577.81,90.30
鹿港鎮,山崙里,798,537178,673,458,288,734,832.82,123.72
鹿港鎮,頭南里,660,739844,1121,482,295,769,6398.36,570.79
