鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東區,中庄里,982,894439,911,662,383,1109,939.38,103.13
東區,頂庄里,730,638384,874,647,365,1199,752.09,86.00
東區,王田里,868,851279,981,693,392,1240,969.10,98.81
東區,圳頭里,1223,1100390,900,675,366,1133,847.53,94.20
東區,鹿寮里,227,196550,866,606,347,1000,1004.34,115.99
東區,盧厝里,486,557942,1148,734,418,1374,1237.84,107.82
東區,短竹里,713,685359,961,677,382,1185,951.87,99.03
東區,長竹里,987,1174597,1190,811,414,1496,1347.95,113.27
東區,後庄里,1198,972223,812,624,370,1059,687.85,84.76
東區,東川里,620,644029,1039,695,414,1261,1077.50,103.73
東區,太平里,1425,1476771,1036,732,411,1272,995.42,96.05
東區,興南里,428,341065,797,579,332,1004,762.23,95.65
東區,豐年里,425,427144,1005,682,352,1140,1169.64,116.38
東區,新開里,633,541898,856,661,361,1084,725.76,84.78
東區,宣信里,384,281072,732,549,311,918,767.60,104.87
東區,芳草里,965,772868,801,587,373,1002,721.35,90.07
東區,安寮里,841,729166,867,620,374,1088,1075.62,124.06
東區,興村里,1166,943715,809,583,349,1009,1340.92,165.68
東區,頂寮里,763,609241,798,611,378,986,660.21,82.68
東區,荖藤里,1234,1031431,836,635,369,1072,805.48,96.37
東區,後湖里,1063,826766,778,600,362,980,688.33,88.50
東區,過溝里,716,613760,857,617,346,1143,814.93,95.07
東區,民族里,396,305116,770,563,292,900,1085.21,140.85
東區,朝陽里,553,406269,735,575,326,937,624.35,84.98
東區,華南里,581,451573,777,553,316,1026,737.21,94.85
東區,東興里,619,610490,986,602,344,1094,1710.82,173.47
東區,中山里,680,696238,1024,714,397,1254,1082.57,105.73
東區,中央里,730,689533,945,549,292,1031,1498.43,158.64
東區,林森里,805,864120,1073,783,400,1419,1313.89,122.40
東區,北門里,666,598286,898,605,342,1091,1016.43,113.15
東區,蘭潭里,653,607222,930,631,342,1133,962.59,103.52
東區,文雅里,1226,1608623,1312,870,478,1626,1585.35,120.83
東區,安業里,530,428257,808,616,364,1020,687.75,85.11
東區,義教里,834,677346,812,598,360,1048,743.42,91.54
東區,興安里,648,503584,777,611,379,974,607.49,78.17
東區,興仁里,1042,804943,772,587,339,979,674.23,87.28
東區,新店里,1427,1418171,994,688,378,1286,1004.20,101.04
東區,仁義里,872,790835,907,638,394,1128,973.67,107.36
東區,芳安里,630,579382,920,687,385,1186,800.71,87.07
東區,其他,0,0,0,0,0,0,0.00,0.00
東區,合計,30969,28350076,915,645,368,1136,1013.15,110.67
西區,永和里,454,337699,744,537,284,953,779.05,104.74
西區,新富里,484,375742,776,581,294,995,772.14,99.46
西區,文化里,739,698319,945,629,359,1133,1071.17,113.36
西區,西榮里,694,557893,804,549,304,960,1066.28,132.64
西區,國華里,480,443217,923,623,340,1070,1100.81,119.22
西區,番社里,479,424289,886,572,334,1055,977.68,110.38
西區,導明里,436,353817,812,591,356,1017,775.06,95.51
西區,慶安里,371,252303,680,517,313,864,628.96,92.49
西區,後驛里,480,357297,744,538,308,888,845.61,113.60
西區,福安里,1250,1110075,888,676,380,1075,960.22,108.13
西區,獅子里,776,601852,776,618,390,954,629.40,81.15
西區,紅瓦里,405,304753,752,583,348,936,641.89,85.30
西區,保福里,1028,884144,860,629,354,1113,973.39,113.18
西區,保生里,1180,957137,811,593,350,1015,859.16,105.92
西區,北新里,282,212683,754,575,332,1013,624.44,82.80
西區,育英里,581,517622,891,637,360,1066,929.86,104.37
西區,湖內里,1136,884699,779,577,340,979,762.16,97.87
西區,美源里,1100,936054,851,593,332,1041,1014.46,119.21
西區,致遠里,487,381299,783,579,329,964,710.15,90.70
西區,翠岱里,375,300610,802,585,314,969,849.82,106.01
西區,自強里,436,382034,876,595,330,1165,822.52,93.87
西區,培元里,426,372420,874,614,356,1009,1476.85,168.93
西區,車店里,1725,1427684,828,619,358,1088,732.36,88.49
西區,光路里,1473,1275292,866,627,366,1131,830.44,95.92
西區,香湖里,196,140028,714,568,333,869,552.38,77.32
西區,湖邊里,592,462691,782,558,324,951,833.32,106.62
西區,重興里,483,352516,730,585,337,982,574.46,78.71
西區,北榮里,637,513762,807,608,325,1019,778.07,96.47
西區,新厝里,1101,928547,843,598,362,1058,1170.54,138.79
西區,竹圍里,1090,822150,754,551,337,921,766.73,101.65
西區,保安里,956,750288,785,624,321,1003,689.81,87.89
西區,北湖里,714,575303,806,644,382,1071,632.56,78.51
西區,下埤里,416,291116,700,514,331,833,689.90,98.59
西區,竹村里,295,233111,790,577,347,946,803.55,101.69
西區,書院里,616,509693,827,544,303,1043,878.99,106.23
西區,福全里,1207,940371,779,560,315,975,773.90,99.33
西區,西平里,929,770697,830,587,328,1107,780.65,94.10
西區,磚??里,985,814919,827,603,381,1097,751.47,90.83
西區,劉厝里,1908,1758052,921,713,400,1231,760.60,82.55
西區,港坪里,969,865013,893,699,387,1216,734.42,82.27
西區,頭港里,471,361786,768,621,339,1055,648.61,84.44
西區,大溪里,500,353725,707,526,332,935,590.11,83.41
西區,垂楊里,493,406124,824,586,325,972,912.69,110.79
西區,新西里,511,374063,732,570,349,965,592.15,80.89
西區,福民里,1669,1447269,867,604,339,1073,952.61,109.86
西區,其他,0,0,0,0,0,0,0.00,0.00
西區,合計,34015,28020158,824,602,346,1040,846.21,102.73
其他,其他,11,10164,924,749,287,1270,746.44,80.78
其他,合計,11,10164,924,749,287,1270,746.44,80.78
