鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
朴子市,安福里,505,393074,778,668,381,1022,576.74,74.10
朴子市,平和里,668,585406,876,676,399,1123,762.07,86.96
朴子市,內厝里,262,201975,771,614,357,1005,587.54,76.22
朴子市,開元里,113,82731,732,617,353,932,562.92,76.89
朴子市,順天里,157,120120,765,569,301,895,1123.17,146.80
朴子市,中正里,194,139106,717,462,248,968,756.69,105.53
朴子市,博厚里,171,141971,830,646,378,1054,661.02,79.62
朴子市,文化里,511,403612,790,604,332,992,789.96,100.01
朴子市,永和里,596,421784,708,541,367,909,583.92,82.51
朴子市,竹圍里,1288,1047864,814,600,333,1057,744.23,91.48
朴子市,新寮里,127,79436,625,450,287,764,581.15,92.91
朴子市,?溪里,118,77559,657,494,299,803,628.13,95.57
朴子市,溪口里,137,86898,634,531,316,804,488.39,77.00
朴子市,德興里,229,157819,689,535,336,886,554.22,80.42
朴子市,仁和里,697,901294,1293,891,601,1447,1325.81,102.53
朴子市,大鄉里,794,624596,787,615,357,1004,733.16,93.20
朴子市,大葛里,739,704937,954,780,415,1269,773.39,81.08
朴子市,佳禾里,134,76187,569,439,247,704,458.93,80.72
朴子市,竹村里,242,158388,654,516,339,783,586.87,89.67
朴子市,崁前里,148,88042,595,503,327,748,431.36,72.51
朴子市,崁後里,110,69789,634,538,390,805,386.16,60.87
朴子市,順安里,41,17888,436,413,240,550,276.34,63.34
朴子市,德家里,117,75665,647,517,332,732,527.93,81.63
朴子市,新庄里,135,86850,643,535,316,802,503.43,78.25
朴子市,松華里,194,136493,704,521,347,910,775.91,110.28
朴子市,梅華里,157,103734,661,503,284,835,681.30,103.11
朴子市,南竹里,87,57014,655,512,336,852,450.42,68.73
朴子市,其他,0,0,0,0,0,0,0.00,0.00
朴子市,合計,8671,7040231,812,609,357,1028,778.82,95.92
布袋鎮,岱江里,97,60400,623,536,371,832,393.55,63.20
布袋鎮,九龍里,75,42599,568,467,247,870,534.24,94.06
布袋鎮,岑海里,385,285111,741,603,422,948,523.02,70.63
布袋鎮,興中里,233,176732,759,589,392,919,1064.29,140.31
布袋鎮,光復里,364,262017,720,556,372,884,626.16,86.99
布袋鎮,見龍里,192,124955,651,517,309,805,570.85,87.71
布袋鎮,新厝里,172,132842,772,598,402,902,824.06,106.70
布袋鎮,龍江里,173,118253,684,605,333,918,512.18,74.93
布袋鎮,東港里,451,349086,774,599,371,916,793.77,102.55
布袋鎮,永安里,247,164377,665,512,334,833,538.46,80.91
布袋鎮,江山里,53,41229,778,551,337,1036,824.75,106.02
布袋鎮,考試里,54,44027,815,550,375,921,916.73,112.44
布袋鎮,菜舖里,80,54704,684,591,392,911,440.17,64.37
布袋鎮,振寮里,156,116656,748,586,381,983,640.46,85.65
布袋鎮,西安里,186,129740,698,528,340,857,597.88,85.72
布袋鎮,東安里,206,136470,662,519,326,772,606.17,91.50
布袋鎮,中安里,254,177454,699,543,335,829,578.52,82.81
布袋鎮,樹林里,87,55168,634,465,336,710,558.13,88.02
布袋鎮,貴舍里,105,75629,720,562,348,896,533.73,74.10
布袋鎮,復興里,457,302530,662,514,336,769,667.40,100.82
布袋鎮,新民里,212,144987,684,534,345,798,612.13,89.50
布袋鎮,好美里,191,110191,577,452,273,702,553.50,95.94
布袋鎮,新岑里,203,134908,665,557,410,771,467.74,70.38
布袋鎮,其他,0,0,0,0,0,0,0.00,0.00
布袋鎮,合計,4633,3240066,699,548,351,864,651.16,93.11
大林鎮,東林里,162,129965,802,552,314,1123,877.21,109.34
大林鎮,西林里,554,425961,769,580,356,951,671.63,87.35
大林鎮,吉林里,251,187724,748,601,347,970,623.02,83.30
大林鎮,平林里,1574,1340114,851,623,379,1083,792.84,93.12
大林鎮,明華里,225,175190,779,579,356,929,967.23,124.22
大林鎮,明和里,417,329682,791,607,351,1094,614.23,77.69
大林鎮,排路里,120,96858,807,576,325,1008,741.28,91.84
大林鎮,西結里,134,87887,656,453,282,773,739.06,112.68
大林鎮,湖北里,124,91526,738,619,386,1042,564.29,76.45
大林鎮,大糖里,46,29253,636,452,291,891,553.21,86.99
大林鎮,大美里,294,200639,682,578,375,856,627.72,91.98
大林鎮,過溪里,265,192601,727,568,395,905,570.86,78.54
大林鎮,中坑里,220,154875,704,528,316,854,620.94,88.20
大林鎮,上林里,136,90153,663,524,310,861,536.80,80.98
大林鎮,中林里,325,256356,789,556,356,884,751.31,95.25
大林鎮,三和里,453,296427,654,502,310,801,546.64,83.54
大林鎮,溝背里,196,139843,713,594,315,996,546.07,76.54
大林鎮,義和里,129,90171,699,600,351,858,510.71,73.06
大林鎮,內林里,118,92964,788,589,307,942,852.12,108.16
大林鎮,三角里,132,99989,757,586,359,928,601.91,79.46
