鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東區,榮光里,143,201421,1409,727,449,1686,1815.72,128.91
東區,成功里,254,294952,1161,655,365,1251,3176.34,273.53
東區,育賢里,350,526701,1505,834,445,1981,1798.50,119.51
東區,親仁里,637,1154629,1813,1083,510,2229,2369.90,130.75
東區,中正里,220,255368,1161,711,330,1369,1364.71,117.57
東區,東門里,224,304620,1360,620,344,1054,3969.00,291.86
東區,三民里,1867,2217282,1188,714,378,1441,1527.12,128.59
東區,文華里,1754,2017956,1150,736,390,1430,1455.16,126.48
東區,公園里,1125,1899296,1688,893,440,1930,2849.93,168.81
東區,東園里,2190,3346940,1528,1139,560,2072,1530.35,100.14
東區,復中里,1672,2541041,1520,784,416,1599,3804.36,250.33
東區,東勢里,905,1817354,2008,1310,566,2646,2684.57,133.69
東區,綠水里,2374,4410241,1858,1231,528,2381,3718.96,200.19
東區,東山里,1220,1695483,1390,883,435,1702,2213.19,159.25
東區,水源里,1066,920422,863,605,361,1066,839.76,97.26
東區,前溪里,996,856471,860,557,335,1038,1177.66,136.95
東區,光復里,875,1128024,1289,813,418,1644,1481.22,114.90
東區,千甲里,680,577206,849,606,360,1023,826.35,97.35
東區,仙宮里,500,768720,1537,1097,529,2002,1511.47,98.31
東區,光明里,1233,3028846,2456,1467,599,2965,5209.92,212.09
東區,建功里,1129,1332062,1180,717,386,1439,1867.22,158.26
東區,金山里,1905,3124552,1640,1013,486,2058,2743.59,167.27
東區,埔頂里,1439,2216132,1540,1064,503,2165,1662.39,107.94
東區,仙水里,1723,2828879,1642,1116,518,2188,1820.88,110.91
東區,龍山里,2632,5317041,2020,1536,761,2676,2064.59,102.20
東區,新莊里,2225,3508503,1577,1117,525,2092,1748.64,110.89
東區,南門里,262,244166,932,563,316,1064,1511.96,162.24
東區,關帝里,167,150954,904,607,293,1090,1035.04,114.51
東區,寺前里,212,168483,795,556,336,1004,773.70,97.35
