鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
竹東鎮,上坪里,74,56209,760,617,377,938,"538.34","70.87"
竹東鎮,瑞峰里,112,92482,826,483,317,822,"963.08","116.63"
竹東鎮,軟橋里,91,66605,732,548,325,927,"639.08","87.31"
竹東鎮,員崠里,811,662915,817,637,382,1062,"695.89","85.13"
竹東鎮,上館里,3168,2798489,883,637,378,1112,"1026.43","116.20"
竹東鎮,東寧里,1131,1027552,909,666,395,1187,"779.46","85.79"
竹東鎮,大鄉里,1562,1526600,977,669,402,1218,"1170.45","119.76"
竹東鎮,東華里,257,204906,797,532,315,1006,"863.91","108.35"
竹東鎮,商華里,960,773650,806,606,383,1017,"687.49","85.31"
竹東鎮,竹東里,473,374157,791,548,355,962,"994.01","125.66"
竹東鎮,榮樂里,497,401543,808,570,314,997,"851.57","105.40"
竹東鎮,鷄林里,1332,1096813,823,617,375,1042,"718.06","87.20"
竹東鎮,五豐里,2596,2371521,914,655,401,1154,"882.39","96.59"
竹東鎮,三重里,2342,2688453,1148,770,416,1420,"1426.34","124.25"
竹東鎮,二重里,3663,4604387,1257,817,449,1566,"1838.40","146.25"
竹東鎮,柯湖里,178,135252,760,530,327,1009,"793.24","104.39"
竹東鎮,頭重里,1605,2120831,1321,771,420,1610,"1748.83","132.35"
竹東鎮,員山里,603,639760,1061,671,380,1275,"1193.38","112.48"
竹東鎮,仁愛里,1080,1002348,928,648,372,1192,"916.50","98.75"
竹東鎮,中山里,556,449494,808,573,329,1023,"918.53","113.62"
竹東鎮,中正里,648,573064,884,586,331,1075,"936.96","105.95"
竹東鎮,南華里,372,323775,870,590,362,1053,"903.00","103.75"
竹東鎮,榮華里,2328,2132085,916,643,378,1177,"896.07","97.84"
竹東鎮,忠孝里,598,471819,789,581,339,1014,"695.93","88.20"
竹東鎮,陸豐里,188,143517,763,591,344,1003,"627.42","82.19"
竹東鎮,其他,2,594,297,297,277,317,"56.24","18.95"
竹東鎮,合計,27227,26738822,982,664,388,1210,"1199.63","122.15"
關西鎮,東興里,151,116464,771,623,352,993,"625.28","81.07"
關西鎮,西安里,598,479026,801,598,396,1033,"709.67","88.59"
關西鎮,南雄里,233,176618,758,541,360,936,"643.31","84.87"
關西鎮,北斗里,1228,986815,804,590,382,979,"921.67","114.69"
關西鎮,仁安里,334,232041,695,550,357,889,"574.09","82.63"
關西鎮,南山里,310,233621,754,585,327,978,"728.65","96.69"
關西鎮,北山里,195,153819,789,545,376,805,"772.34","97.91"
關西鎮,東安里,1188,956527,805,585,373,934,"977.10","121.36"
關西鎮,東光里,381,333635,876,634,422,997,"824.32","94.14"
關西鎮,新富里,150,119063,794,545,374,831,"940.43","118.48"
關西鎮,玉山里,114,72590,637,515,305,693,"566.15","88.91"
關西鎮,錦山里,206,133319,647,520,334,829,"454.13","70.17"
關西鎮,金山里,140,98444,703,536,357,877,"586.31","83.38"
關西鎮,石光里,566,454035,802,609,378,1001,"659.63","82.23"
關西鎮,大同里,227,166965,736,588,372,883,"705.66","95.94"
關西鎮,上林里,220,184046,837,625,408,1003,"784.80","93.81"
關西鎮,新力里,156,115002,737,497,301,877,"958.09","129.96"
關西鎮,南和里,256,291346,1138,627,395,1126,"2985.57","262.34"
關西鎮,東山里,233,172071,739,561,355,850,"673.74","91.23"
關西鎮,東平里,252,194005,770,614,390,986,"583.87","75.84"
關西鎮,南新里,231,158608,687,500,317,822,"706.47","102.89"
關西鎮,其他,0,0,0,0,0,0,"0.00","0.00"
關西鎮,合計,7369,5828060,791,578,371,950,"960.81","121.48"
新埔鎮,新埔里,316,271622,860,658,374,1106,"772.79","89.90"
新埔鎮,新生里,175,146649,838,574,354,1066,"779.10","92.97"
新埔鎮,四座里,1191,998484,838,641,398,1053,"720.09","85.89"
新埔鎮,五埔里,625,432497,692,565,343,892,"520.44","75.21"
新埔鎮,田新里,871,712487,818,623,357,1090,"706.62","86.38"
新埔鎮,旱坑里,628,477877,761,575,364,983,"663.98","87.26"
新埔鎮,北平里,177,117198,662,547,340,901,"483.76","73.06"
新埔鎮,南平里,298,238949,802,545,353,978,"906.32","113.03"
新埔鎮,上寮里,633,514534,813,589,362,1011,"756.72","93.09"
新埔鎮,下寮里,850,902578,1062,596,358,1073,"2726.28","256.75"
新埔鎮,巨埔里,346,271921,786,563,353,981,"682.82","86.88"
新埔鎮,照門里,423,327105,773,608,386,964,"652.42","84.37"
新埔鎮,清水里,126,93938,746,628,392,887,"628.83","84.35"
新埔鎮,鹿鳴里,194,160386,827,665,416,1059,"634.66","76.77"
新埔鎮,新北里,169,130615,773,585,367,915,"809.96","104.80"
