鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
花蓮市,民意里,505,366389,726,545,332,885,754.02,103.93
花蓮市,民政里,1262,1141177,904,668,380,1146,829.48,91.73
花蓮市,民運里,637,482061,757,552,320,881,821.61,108.57
花蓮市,民樂里,201,181607,904,595,324,1098,1198.19,132.61
花蓮市,民立里,540,571687,1059,759,398,1333,1310.55,123.79
花蓮市,民勤里,1103,1153285,1046,778,437,1392,966.94,92.48
花蓮市,民德里,575,539198,938,678,371,1192,864.63,92.20
花蓮市,民權里,118,102132,866,616,331,1256,835.78,96.56
花蓮市,民有里,172,136659,795,583,370,1047,640.34,80.59
花蓮市,民主里,155,111628,720,530,268,925,679.90,94.41
花蓮市,民治里,12,6390,532,512,184,583,434.39,81.58
花蓮市,民族里,148,122307,826,590,354,1056,808.59,97.84
花蓮市,民生里,394,310380,788,570,315,997,745.77,94.67
花蓮市,主商里,210,177871,847,612,344,1066,751.73,88.75
花蓮市,主勤里,282,225814,801,606,307,1055,772.71,96.50
花蓮市,主工里,196,148290,757,597,280,925,733.31,96.92
花蓮市,主睦里,158,113116,716,554,321,940,629.91,87.99
花蓮市,主義里,135,100207,742,542,345,901,737.56,99.36
花蓮市,主計里,207,166823,806,586,343,1046,788.14,97.80
花蓮市,主信里,180,120498,669,499,289,846,587.58,87.77
花蓮市,主和里,787,541674,688,545,331,847,604.13,87.77
花蓮市,主學里,595,425296,715,541,336,926,598.37,83.71
花蓮市,主農里,1140,874915,767,575,338,1010,677.60,88.29
花蓮市,主力里,885,675338,763,574,323,946,737.04,96.59
花蓮市,主權里,1685,1251924,743,543,331,961,709.13,95.44
花蓮市,國治里,313,295798,945,599,309,1115,1567.72,165.89
花蓮市,國風里,1086,930965,857,623,364,1076,1356.99,158.30
花蓮市,國威里,511,448871,878,602,336,1139,920.35,104.77
花蓮市,國安里,183,144482,790,640,393,989,640.39,81.11
花蓮市,國華里,766,652744,852,615,347,1139,781.27,91.68
花蓮市,國魂里,676,539928,799,564,306,1077,804.81,100.76
花蓮市,國聯里,953,707634,743,554,304,942,712.13,95.91
花蓮市,國富里,1748,1392698,797,574,341,1006,774.53,97.21
花蓮市,國慶里,300,331373,1105,660,345,1272,1245.70,112.78
花蓮市,國福里,367,211913,577,496,315,715,399.13,69.12
花蓮市,國強里,532,452848,851,661,370,1112,739.05,86.82
花蓮市,國防里,260,179565,691,548,324,902,524.92,76.00
花蓮市,國光里,353,288329,817,581,345,996,786.68,96.31
花蓮市,民心里,319,322670,1012,642,399,1161,1270.52,125.61
花蓮市,民享里,984,874442,889,650,392,1139,884.62,99.55
花蓮市,國裕里,1479,1137852,769,583,346,971,732.09,95.16
花蓮市,國盛里,1130,812050,719,555,330,925,636.96,88.64
花蓮市,主安里,813,598494,736,546,331,974,664.09,90.21
花蓮市,國興里,1384,1426936,1031,714,415,1338,976.69,94.73
花蓮市,民孝里,1104,955960,866,687,409,1091,715.17,82.59
花蓮市,其他,0,0,0,0,0,0,0.00,0.00
花蓮市,合計,27543,22752221,826,602,349,1049,847.23,102.56
光復鄉,大安村,212,150449,710,561,298,1001,575.65,81.11
光復鄉,大全村,156,82887,531,482,254,671,417.68,78.61
光復鄉,大平村,215,126917,590,453,276,777,483.41,81.89
光復鄉,大馬村,203,116369,573,461,284,779,397.34,69.31
光復鄉,大進村,134,101995,761,571,335,1123,666.03,87.50
光復鄉,大同村,254,158717,625,463,278,819,549.54,87.94
光復鄉,東富村,197,114400,581,463,318,861,388.26,66.86
光復鄉,西富村,188,115072,612,568,347,743,454.32,74.22
光復鄉,南富村,180,113163,629,514,324,779,523.44,83.26
光復鄉,北富村,159,88549,557,488,312,767,390.16,70.06
光復鄉,大富村,72,38837,539,455,321,622,396.28,73.47
光復鄉,大豐村,76,53526,704,429,277,959,894.70,127.04
光復鄉,大興村,72,40654,565,441,259,657,458.79,81.26
光復鄉,大華村,293,195314,667,485,276,846,718.16,107.73
光復鄉,其他,0,0,0,0,0,0,0.00,0.00
光復鄉,合計,2411,1496848,621,488,292,799,539.44,86.89
玉里鎮,中城里,1499,1227623,819,623,365,1118,715.08,87.32
玉里鎮,國武里,405,294008,726,568,320,911,646.04,88.99
玉里鎮,?模里,352,252053,716,535,336,815,777.03,108.51
玉里鎮,泰昌里,220,189693,862,608,341,1045,1132.47,131.34
玉里鎮,源城里,249,153210,615,540,332,780,397.42,64.59
玉里鎮,長良里,83,43385,523,492,275,714,340.91,65.22
玉里鎮,樂合里,151,90195,597,484,300,742,454.77,76.14
玉里鎮,觀音里,208,114545,551,494,308,686,352.77,64.06
玉里鎮,松浦里,237,126153,532,474,293,681,356.05,66.89
玉里鎮,春日里,97,64369,664,519,353,677,889.79,134.09
玉里鎮,德武里,91,54482,599,547,339,776,336.85,56.26
玉里鎮,三民里,137,99137,724,542,362,849,700.93,96.86
玉里鎮,大禹里,212,124837,589,500,325,720,444.15,75.43
玉里鎮,東豐里,67,39780,594,469,301,805,379.83,63.97
玉里鎮,永昌里,283,192350,680,564,311,885,531.34,78.18
玉里鎮,其他,4,1807,452,409,366,494,150.79,33.37
玉里鎮,合計,4295,3067629,714,559,335,885,664.37,93.02
新城鄉,新城村,376,267238,711,561,323,903,917.51,129.09
新城鄉,順安村,183,112830,617,502,335,769,504.86,81.88
新城鄉,康樂村,690,619501,898,646,379,1207,1290.17,143.70
新城鄉,北埔村,1042,767824,737,595,352,958,588.44,79.86
新城鄉,佳林村,244,178166,730,549,300,903,647.71,88.71
新城鄉,嘉里村,1154,984319,853,734,430,1089,656.95,77.02
新城鄉,嘉新村,210,130624,622,523,309,837,434.62,69.87
新城鄉,大漢村,647,414615,641,517,305,801,666.51,104.01
新城鄉,其他,0,0,0,0,0,0,0.00,0.00
新城鄉,合計,4546,3475118,764,601,354,970,790.07,103.35
吉安鄉,仁里村,1930,1371544,711,557,330,902,584.59,82.26
吉安鄉,東昌村,1615,1202854,745,594,373,963,568.89,76.38
吉安鄉,南昌村,1195,884821,740,561,336,959,676.89,91.42
吉安鄉,北昌村,2459,1952900,794,596,344,1020,722.41,90.96
吉安鄉,宜昌村,1178,822333,698,548,335,889,563.76,80.76
吉安鄉,太昌村,911,718856,789,567,345,956,894.37,113.34
吉安鄉,慶豐村,2169,1822828,840,648,372,1113,705.98,84.01
吉安鄉,吉安村,1622,1400250,863,654,379,1180,711.59,82.43
吉安鄉,福興村,774,619730,801,613,356,989,726.14,90.69
吉安鄉,稻香村,997,822148,825,591,337,1118,788.65,95.64
吉安鄉,永興村,717,457066,637,521,313,817,510.80,80.13
吉安鄉,南華村,373,259308,695,509,301,854,689.65,99.20
吉安鄉,干城村,293,214796,733,578,345,881,659.71,89.99
吉安鄉,光華村,522,379262,727,559,341,925,626.80,86.27
吉安鄉,仁和村,1245,832098,668,545,337,840,509.38,76.21
吉安鄉,仁安村,639,423730,663,494,305,813,720.11,108.59
吉安鄉,永安村,1324,1111780,840,612,357,1072,789.37,94.00
吉安鄉,勝安村,1602,1336834,834,622,358,1104,726.55,87.07
吉安鄉,其他,2,3382,1691,1691,1438,1944,716.22,42.36
吉安鄉,合計,21567,16636520,771,584,347,995,686.28,88.97
壽豐鄉,池南村,160,104009,650,512,316,829,590.90,90.90
壽豐鄉,志學村,641,479098,747,562,332,955,661.64,88.52
壽豐鄉,光榮村,162,96450,595,511,317,737,463.89,77.92
壽豐鄉,平和村,273,190516,698,522,310,907,594.43,85.18
壽豐鄉,壽豐村,367,251810,686,544,347,850,560.31,81.66
壽豐鄉,共和村,129,97024,752,483,287,737,1159.14,154.11
壽豐鄉,豐山村,462,296676,642,498,309,789,554.50,86.35
壽豐鄉,豐裡村,336,210766,627,492,311,781,527.22,84.05
壽豐鄉,豐坪村,194,125625,648,491,330,838,537.43,82.99
壽豐鄉,溪口村,198,119731,605,471,312,735,494.49,81.77
壽豐鄉,月眉村,194,110767,571,498,339,692,394.98,69.18
