鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
鹽埕區,藍橋里,360,306117,850,664,379,1122,789.59,92.86
鹽埕區,慈愛里,89,92845,1043,508,328,834,2506.24,240.24
鹽埕區,博愛里,162,109640,677,470,295,732,786.46,116.20
鹽埕區,陸橋里,314,226015,720,544,322,904,600.69,83.45
鹽埕區,壽星里,341,279969,821,556,321,1057,866.18,105.50
鹽埕區,中山里,380,325949,858,612,336,1017,1035.20,120.69
鹽埕區,瀨南里,158,226813,1436,598,323,1118,4629.23,322.48
鹽埕區,新樂里,298,277955,933,591,308,1071,1192.64,127.87
鹽埕區,教仁里,660,1063273,1611,540,337,957,17498.18,1086.16
鹽埕區,中原里,202,177035,876,540,298,962,1500.94,171.26
鹽埕區,府北里,412,280684,681,505,292,840,668.88,98.18
鹽埕區,育仁里,256,195024,762,565,306,952,724.35,95.08
鹽埕區,光明里,394,332739,845,616,284,1065,858.17,101.62
鹽埕區,江西里,317,305166,963,598,397,1197,1022.21,106.19
鹽埕區,港都里,261,185677,711,505,275,881,739.91,104.01
鹽埕區,新化里,162,112645,695,563,322,865,554.44,79.74
鹽埕區,江南里,197,187461,952,549,323,1050,1283.89,134.92
鹽埕區,河濱里,597,530417,888,555,294,936,1268.02,142.72
鹽埕區,南端里,299,272690,912,532,302,973,2351.07,257.79
鹽埕區,沙地里,189,278048,1471,574,360,989,5488.74,373.09
鹽埕區,新豐里,230,189899,826,633,363,1039,814.82,98.69
鹽埕區,其他,1,293,293,293,293,293,0.00,0.00
鹽埕區,合計,6279,5956355,949,564,319,988,5893.23,621.25
鼓山區,前峰里,1395,1125469,807,608,355,1053,750.63,93.04
鼓山區,光榮里,1046,774020,740,547,339,919,715.89,96.74
鼓山區,民族里,350,250809,717,553,326,885,681.62,95.12
鼓山區,自強里,205,189034,922,649,326,1048,1329.84,144.22
鼓山區,建國里,743,631340,850,581,355,1023,1049.68,123.53
鼓山區,內惟里,290,213186,735,549,357,921,621.67,84.57
鼓山區,忠正里,1079,847618,786,552,349,917,1549.49,197.25
鼓山區,龍井里,327,221459,677,516,300,829,642.84,94.92
鼓山區,平和里,1140,872660,765,563,334,966,702.48,91.77
鼓山區,龍子里,5423,6608354,1219,848,454,1531,1459.53,119.77
鼓山區,鼓岩里,275,162010,589,484,261,748,495.08,84.04
鼓山區,樹德里,334,259533,777,569,336,1024,715.69,92.10
