鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中正區,德義里,293,251878,860,626,352,1076,806.06,93.77
中正區,正義里,416,301105,724,547,362,862,643.24,88.87
中正區,信義里,283,210737,745,546,342,921,770.44,103.46
中正區,義重里,328,256559,782,599,391,967,720.60,92.12
中正區,港通里,502,470842,938,616,331,1196,1009.42,107.62
中正區,中船里,371,274166,739,587,359,905,614.34,83.13
中正區,正船里,404,299370,741,578,358,882,684.18,92.33
中正區,入船里,245,188667,770,583,350,1050,650.24,84.44
中正區,中砂里,353,255877,725,544,330,956,624.33,86.13
中正區,正砂里,825,707814,858,597,368,1059,874.18,101.89
中正區,真砂里,434,388618,895,576,354,938,3245.80,362.48
中正區,砂灣里,597,433816,727,544,344,897,628.59,86.50
中正區,中濱里,366,248162,678,519,304,843,636.22,93.83
中正區,中正里,526,359197,683,527,314,880,616.63,90.30
中正區,正濱里,287,248353,865,639,386,968,1218.54,140.82
中正區,社寮里,505,333600,661,520,336,826,548.87,83.09
中正區,平寮里,384,247666,645,538,345,791,480.63,74.52
中正區,八斗里,400,266010,665,546,363,874,473.39,71.18
中正區,長潭里,120,81681,681,527,327,863,539.00,79.19
中正區,砂子里,1418,971771,685,545,348,852,571.08,83.33
中正區,海濱里,318,210063,661,531,363,831,466.89,70.68
中正區,建國里,586,494349,844,636,410,1090,688.48,81.61
中正區,和憲里,242,146256,604,526,337,780,432.98,71.64
中正區,碧砂里,329,209622,637,529,310,765,578.65,90.82
中正區,新豐里,1779,1455889,818,642,394,1071,736.43,89.99
中正區,新富里,1452,1037051,714,562,364,895,561.69,78.64
中正區,其他,0,0,0,0,0,0,0.00,0.00
中正區,合計,13763,10349120,752,568,356,929,886.73,117.92
七堵區,八德里,523,353320,676,498,345,807,611.96,90.59
七堵區,長興里,1224,906738,741,591,383,911,603.56,81.47
七堵區,正光里,815,660868,811,610,350,1050,701.51,86.51
七堵區,永平里,642,494560,770,588,364,991,619.43,80.41
七堵區,富民里,1261,1004711,797,595,360,981,838.80,105.28
七堵區,自強里,302,218257,723,568,353,907,582.99,80.67
七堵區,泰安里,1487,1113203,749,564,368,910,668.61,89.31
七堵區,堵南里,645,450199,698,558,356,880,570.69,81.76
七堵區,堵北里,1242,910282,733,562,360,906,685.18,93.49
七堵區,六堵里,764,608952,797,588,379,1014,778.46,97.67
七堵區,友一里,675,725372,1075,733,368,1358,1154.64,107.45
七堵區,友二里,108,80162,742,463,262,745,1048.13,141.21
七堵區,瑪東里,65,45654,702,549,389,749,675.73,96.21
七堵區,瑪南里,134,92725,692,523,328,816,691.61,99.95
七堵區,瑪西里,88,54019,614,450,290,763,509.98,83.08
七堵區,永安里,762,576410,756,569,367,950,623.77,82.46
七堵區,百福里,2137,1626560,761,560,361,920,777.79,102.19
七堵區,實踐里,1294,886562,685,554,362,833,511.74,74.69
七堵區,正明里,697,545623,783,618,372,1002,641.46,81.94
七堵區,長安里,717,513586,716,544,355,854,794.80,110.96
七堵區,其他,2,1165,583,583,491,674,259.14,44.48
七堵區,合計,15584,11868930,762,573,361,934,720.27,94.57
暖暖區,碇內里,879,720482,820,614,379,1024,718.06,87.60
暖暖區,過港里,1156,871612,754,571,364,924,757.92,100.52
暖暖區,暖暖里,891,722321,811,624,377,1038,650.28,80.21
暖暖區,暖同里,810,629618,777,581,356,940,750.62,96.57
暖暖區,暖西里,1578,1412997,895,630,365,1102,988.71,110.42
暖暖區,暖東里,94,57670,614,511,336,796,413.39,67.38
暖暖區,八西里,422,328063,777,573,362,981,686.48,88.30
暖暖區,八堵里,197,130148,661,514,345,842,559.69,84.72
暖暖區,八南里,219,148369,677,558,339,846,493.40,72.83
暖暖區,八中里,126,80651,640,491,313,758,517.02,80.77
暖暖區,碇和里,969,783688,809,587,362,1033,754.22,93.26
暖暖區,碇安里,1637,1313979,803,639,408,1044,623.95,77.73
暖暖區,碇祥里,1819,1491038,820,623,379,1033,703.55,85.83
暖暖區,其他,1,603,603,603,603,603,0.00,0.00
暖暖區,合計,10798,8691239,805,605,371,1012,743.69,92.40
仁愛區,仁德里,380,324264,853,538,299,1015,1370.01,160.55
仁愛區,和明里,681,794868,1167,770,428,1413,3251.02,278.53
仁愛區,水錦里,614,534172,870,660,391,1144,711.94,81.83
仁愛區,玉田里,340,283390,834,593,350,1012,810.32,97.22
仁愛區,新店里,275,235546,857,620,298,1100,828.69,96.75
仁愛區,文昌里,270,211900,785,535,296,1010,771.37,98.29
仁愛區,誠仁里,314,217829,694,561,366,858,509.05,73.38
仁愛區,林泉里,529,392919,743,602,372,946,607.98,81.85
仁愛區,育仁里,212,140530,663,526,341,856,518.29,78.19
仁愛區,吉仁里,782,516680,661,530,345,809,523.50,79.23
仁愛區,博愛里,524,439083,838,569,347,996,1122.25,133.93
仁愛區,福仁里,226,153902,681,505,331,861,574.58,84.37
仁愛區,智仁里,843,778488,923,685,401,1225,798.96,86.52
仁愛區,曲水里,250,194807,779,630,386,936,698.96,89.70
仁愛區,德厚里,555,455484,821,631,378,1054,708.94,86.38
仁愛區,英仁里,367,239499,653,520,301,859,571.04,87.50
仁愛區,龍門里,210,139834,666,535,351,773,548.94,82.44
仁愛區,花崗里,379,302975,799,607,352,1079,704.09,88.08
仁愛區,同風里,183,125207,684,440,290,853,726.35,106.16
仁愛區,虹橋里,492,441609,898,688,400,1123,786.08,87.58
仁愛區,書院里,265,182859,690,520,314,886,619.09,89.72
仁愛區,獅球里,265,187358,707,551,332,862,549.29,77.69
仁愛區,忠勇里,305,266056,872,639,382,1075,802.34,91.98
仁愛區,文安里,226,132398,586,451,255,762,493.87,84.30
仁愛區,明德里,209,152108,728,576,362,973,569.37,78.23
