鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
南竿鄉,介壽村,738,778848,1055,834,491,1383,804.88,76.27
南竿鄉,復興村,365,359871,986,796,472,1325,708.28,71.84
南竿鄉,福沃村,275,275768,1003,816,485,1384,724.57,72.26
南竿鄉,清水村,287,291940,1017,754,480,1298,809.45,79.58
南竿鄉,珠螺村,43,39799,926,750,495,998,709.80,76.69
南竿鄉,仁愛村,164,174130,1062,813,544,1377,746.48,70.31
南竿鄉,津沙村,95,96692,1018,808,486,1258,754.50,74.13
南竿鄉,馬祖村,172,169184,984,706,455,1255,814.44,82.80
南竿鄉,四維村,46,48536,1055,676,543,1175,908.95,86.15
南竿鄉,其他,1,1000,1000,1000,1000,1000,0.00,0.00
南竿鄉,合計,2186,2235770,1023,796,488,1337,774.24,75.70
北竿鄉,塘岐村,313,299955,958,721,450,1262,802.33,83.72
北竿鄉,后沃村,59,58684,995,797,502,1251,753.87,75.79
北竿鄉,橋仔村,83,71595,863,714,411,1189,666.10,77.22
北竿鄉,芹壁村,66,56298,853,616,406,1288,661.78,77.58
北竿鄉,?里村,91,75449,829,615,465,953,609.21,73.48
北竿鄉,白沙村,38,27559,725,731,502,952,370.68,51.11
北竿鄉,其他,0,0,0,0,0,0,0.00,0.00
北竿鄉,合計,650,589539,907,704,450,1189,724.42,79.87
莒光鄉,青帆村,163,159318,977,893,544,1221,733.21,75.02
莒光鄉,田沃村,67,63401,946,783,478,1322,609.48,64.41
莒光鄉,西坵村,26,19947,767,676,468,1037,474.50,61.85
莒光鄉,大坪村,159,147471,927,699,416,1282,762.74,82.24
莒光鄉,福正村,59,48001,814,618,410,990,625.03,76.83
莒光鄉,其他,0,0,0,0,0,0,0.00,0.00
莒光鄉,合計,474,438139,924,746,459,1217,702.87,76.04
東引鄉,中柳村,190,176697,930,816,587,1124,552.36,59.39
東引鄉,樂華村,230,214919,934,885,533,1169,588.83,63.02
其他,其他,0,0,0,0,0,0,0.00,0.00
其他,合計,420,391616,932,839,542,1159,571.95,61.34
