鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
苗栗市,中苗里,400,361384,903,629,371,1184,879.75,97.38
苗栗市,青苗里,334,267835,802,607,303,1016,750.61,93.60
苗栗市,玉苗里,265,188328,711,536,326,852,677.83,95.38
苗栗市,綠苗里,251,184541,735,540,320,1048,607.25,82.59
苗栗市,高苗里,1047,863556,825,590,365,1043,901.09,109.25
苗栗市,恭敬里,468,379562,811,618,369,1103,719.58,88.72
苗栗市,新苗里,330,249168,755,569,334,892,1015.09,134.44
苗栗市,勝利里,1344,1113140,828,618,382,1075,721.58,87.12
苗栗市,維祥里,1165,985977,846,631,392,1109,716.06,84.61
苗栗市,玉清里,808,683569,846,661,414,1121,642.95,76.00
苗栗市,嘉盛里,1261,1041214,826,636,366,1105,688.77,83.42
苗栗市,福星里,1444,1268996,879,691,411,1182,705.76,80.31
苗栗市,北苗里,1867,1686405,903,698,415,1202,716.01,79.27
苗栗市,上苗里,626,535006,855,650,377,1131,751.14,87.89
苗栗市,福麗里,1698,1469665,866,650,376,1121,795.15,91.87
苗栗市,新川里,339,285795,843,562,351,1012,1269.99,150.64
苗栗市,新英里,505,391061,774,618,400,985,646.33,83.46
苗栗市,清華里,1155,961367,832,654,372,1089,718.74,86.35
苗栗市,水源里,809,571385,706,559,354,886,545.83,77.28
苗栗市,文山里,1206,1064053,882,669,405,1213,673.50,76.33
苗栗市,建功里,1537,1384718,901,666,391,1213,817.48,90.74
苗栗市,大同里,170,114131,671,541,310,801,732.44,109.10
苗栗市,玉華里,1233,1071264,869,656,388,1186,703.36,80.95
苗栗市,維新里,1261,1079091,856,628,393,1087,783.51,91.56
苗栗市,福安里,1170,950109,812,650,393,1077,612.53,75.43
苗栗市,嘉新里,1099,932112,848,648,406,1139,665.60,78.48
苗栗市,南勢里,576,384833,668,558,353,856,479.66,71.79
苗栗市,文聖里,1157,1012701,875,688,413,1191,674.85,77.10
苗栗市,其他,0,0,0,0,0,0,0.00,0.00
苗栗市,合計,25525,21480966,842,637,383,1112,734.38,87.26
苑裡鎮,苑東里,676,563664,834,590,347,1038,1214.79,145.69
苑裡鎮,西平里,456,296495,650,511,324,825,558.10,85.83
苑裡鎮,苑南里,521,415137,797,580,317,969,869.98,109.18
苑裡鎮,苑北里,259,192074,742,560,319,937,658.75,88.83
苑裡鎮,西勢里,588,422252,718,563,362,903,574.82,80.05
苑裡鎮,海岸里,283,176339,623,511,360,795,457.30,73.39
苑裡鎮,客庄里,1306,1068561,818,576,350,1007,950.50,116.17
苑裡鎮,苑坑里,238,163330,686,495,348,801,668.36,97.39
苑裡鎮,水坡里,149,104826,704,529,366,833,606.53,86.21
苑裡鎮,山腳里,381,251935,661,506,307,803,582.38,88.07
苑裡鎮,舊社里,587,390863,666,508,308,816,608.20,91.34
