鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
南投市,龍泉里,295,216438,734,540,293,890,727.28,99.13
南投市,康壽里,489,446229,913,631,336,1055,2357.22,258.32
南投市,三民里,264,227560,862,618,405,1003,873.79,101.37
南投市,仁和里,178,129067,725,535,286,886,672.38,92.73
南投市,南投里,211,157362,746,502,299,874,793.99,106.46
南投市,彰仁里,138,92774,672,522,186,902,647.42,96.30
南投市,崇文里,296,240977,814,568,331,971,851.18,104.55
南投市,漳興里,829,629185,759,570,315,951,709.41,93.47
南投市,漳和里,2343,1870873,798,573,341,966,1341.04,167.95
南投市,軍功里,1388,995320,717,546,330,925,660.05,92.05
南投市,東山里,101,65718,651,489,357,818,540.11,83.01
南投市,平和里,1958,1540677,787,579,333,992,750.50,95.38
南投市,振興里,575,382062,664,533,305,863,563.11,84.75
南投市,千秋里,284,199084,701,566,333,912,535.93,76.45
南投市,三興里,1767,1442486,816,601,334,1095,700.19,85.77
南投市,三和里,1029,864503,840,615,354,1085,776.63,92.44
南投市,嘉興里,570,372680,654,495,315,804,589.38,90.14
南投市,嘉和里,1433,1089093,760,567,342,983,695.66,91.53
南投市,鳳鳴里,136,88941,654,538,400,802,461.52,70.57
南投市,鳳山里,262,191725,732,503,336,753,1372.49,187.56
南投市,平山里,1664,1210911,728,533,328,862,774.52,106.43
南投市,新興里,1575,1048628,666,528,324,825,561.44,84.33
南投市,永豐里,883,751752,851,520,321,797,6136.51,720.79
南投市,福興里,842,678068,805,504,307,785,2902.13,360.38
南投市,營北里,2243,2315152,1032,739,404,1349,983.15,95.25
南投市,營南里,787,644091,818,575,357,957,848.41,103.67
南投市,內新里,403,304008,754,614,332,1029,617.34,81.84
南投市,內興里,2142,2018485,942,678,388,1247,881.90,93.59
南投市,光華里,315,237209,753,566,329,880,802.30,106.54
南投市,光榮里,375,269786,719,549,324,935,630.51,87.64
南投市,光明里,366,297320,812,655,382,1075,611.56,75.28
南投市,光輝里,169,184405,1091,633,335,1141,2769.02,253.77
南投市,福山里,487,291069,598,461,311,734,475.22,79.51
南投市,永興里,158,112024,709,483,317,894,685.36,96.66
南投市,其他,0,0,0,0,0,0,0.00,0.00
南投市,合計,26955,21605661,802,575,339,985,1512.73,188.73
埔里鎮,東門里,679,473991,698,479,277,841,712.71,102.10
埔里鎮,西門里,753,524755,697,533,318,908,685.51,98.37
埔里鎮,南門里,241,181604,754,539,252,1081,757.11,100.47
埔里鎮,北門里,604,418174,692,524,320,885,603.81,87.21
埔里鎮,薰化里,315,243817,774,485,250,886,1446.34,186.86
埔里鎮,清新里,821,554866,676,499,298,879,595.36,88.09
埔里鎮,同聲里,498,340301,683,466,266,839,707.27,103.50
埔里鎮,大城里,1421,1013428,713,541,321,912,653.22,91.59
埔里鎮,籃城里,179,130813,731,471,314,758,1286.42,176.03
埔里鎮,枇杷里,1795,1301589,725,528,304,912,712.27,98.23
埔里鎮,杷城里,628,436389,695,511,308,874,628.62,90.46
埔里鎮,水頭里,788,642076,815,508,306,871,3457.24,424.30
埔里鎮,麒麟里,162,110755,684,469,289,866,607.02,88.79
埔里鎮,珠格里,184,129049,701,506,289,922,730.36,104.14
埔里鎮,溪南里,217,143615,662,473,272,775,697.63,105.41
埔里鎮,桃米里,217,144376,665,487,269,833,605.77,91.05
埔里鎮,南村里,274,183046,668,491,303,888,600.82,89.94
埔里鎮,愛蘭里,316,253667,803,602,351,964,704.36,87.74
埔里鎮,鐵山里,379,244487,645,527,346,812,525.31,81.43
埔里鎮,房里里,208,124795,600,478,273,762,507.95,84.66
埔里鎮,向善里,93,53835,579,410,301,662,561.20,96.95
埔里鎮,一新里,195,122913,630,405,256,639,1049.75,166.54
埔里鎮,廣成里,186,117751,633,497,309,871,497.05,78.52
埔里鎮,史港里,99,69835,705,429,307,847,720.29,102.11
埔里鎮,福興里,195,112611,577,413,172,745,657.18,113.80
埔里鎮,牛眠里,486,291799,600,465,287,754,530.09,88.29
埔里鎮,大湳里,371,275095,741,509,296,1037,685.62,92.46
埔里鎮,蜈蚣里,487,318227,653,521,312,870,524.67,80.29
埔里鎮,成功里,53,37591,709,486,297,905,583.41,82.25
埔里鎮,合成里,213,126213,593,439,266,708,628.83,106.12
埔里鎮,北安里,892,648153,727,529,306,939,688.33,94.73
埔里鎮,泰安里,598,405899,679,515,306,878,558.01,82.21
埔里鎮,北梅里,774,578808,748,573,316,1017,640.32,85.62
埔里鎮,其他,0,0,0,0,0,0,0.00,0.00
埔里鎮,合計,15321,10754326,702,511,301,884,1034.77,147.42
草屯鎮,玉峰里,692,511412,739,551,317,955,666.44,90.18
草屯鎮,炎峰里,703,579178,824,623,328,1020,845.86,102.67
草屯鎮,和平里,429,337170,786,528,292,944,789.35,100.43
草屯鎮,敦和里,1907,1522851,799,551,315,983,1492.08,186.85
草屯鎮,山腳里,2517,2336270,928,618,359,1117,1782.90,192.08
草屯鎮,富寮里,1860,1455922,783,584,330,1035,696.96,89.04
草屯鎮,御史里,1711,1337588,782,530,307,947,1772.95,226.79
草屯鎮,新豐里,1132,795703,703,524,308,892,645.32,91.81
草屯鎮,明正里,1121,851474,760,569,310,971,716.95,94.39
草屯鎮,中正里,209,177586,850,563,311,1017,1064.62,125.29
草屯鎮,碧峰里,1277,932819,730,575,333,896,634.29,86.83
草屯鎮,上林里,1002,776592,775,566,325,963,835.85,107.85
草屯鎮,新庄里,1017,764441,752,553,314,913,778.20,103.53
草屯鎮,北投里,793,668064,842,502,308,821,3821.51,453.62
草屯鎮,石川里,441,335467,761,575,301,932,817.50,107.47
草屯鎮,加老里,712,507743,713,509,295,853,1124.07,157.63
草屯鎮,中原里,544,384394,707,537,330,887,648.95,91.84
草屯鎮,北勢里,473,295663,625,511,292,741,536.10,85.76
草屯鎮,南埔里,1107,804899,727,524,306,918,785.51,108.03
草屯鎮,土城里,386,236014,611,457,259,764,597.05,97.65
草屯鎮,坪頂里,206,151651,736,503,274,799,1512.49,205.45
草屯鎮,雙冬里,430,254351,592,496,266,770,477.41,80.71
草屯鎮,復興里,806,598490,743,535,326,894,1138.67,153.35
草屯鎮,平林里,225,155690,692,491,285,793,891.96,128.90
草屯鎮,碧洲里,719,541594,753,567,317,1004,672.23,89.24
草屯鎮,中山里,772,639225,828,595,321,1011,851.55,102.84
草屯鎮,新厝里,1022,840119,822,600,371,1012,750.97,91.35
草屯鎮,其他,2,273,136,136,111,162,71.49,52.43
草屯鎮,合計,24215,18792642,776,556,319,952,1285.67,165.66
竹山鎮,竹山里,561,412363,735,551,327,909,656.66,89.34
竹山鎮,中正里,167,118476,709,503,305,914,720.93,101.62
竹山鎮,中山里,1107,769958,696,513,299,884,652.97,93.88
竹山鎮,雲林里,987,735245,745,574,345,929,695.37,93.35
竹山鎮,???里,395,257094,651,482,295,808,568.40,87.33
竹山鎮,桂林里,841,605337,720,551,321,961,628.94,87.38
竹山鎮,下坪里,278,214481,772,560,372,984,665.77,86.29
竹山鎮,中和里,212,129999,613,522,299,818,478.47,78.03
竹山鎮,中崎里,310,192292,620,503,325,775,498.58,80.38
竹山鎮,德興里,158,104922,664,530,313,752,729.46,109.85
竹山鎮,延和里,1333,980149,735,562,322,927,661.11,89.91
竹山鎮,延正里,326,223303,685,474,299,726,960.37,140.20
竹山鎮,延平里,665,432493,650,502,305,784,558.54,85.88
竹山鎮,延山里,158,134740,853,573,345,1009,1056.35,123.87
竹山鎮,山崇里,405,307619,760,542,354,971,805.18,106.01
竹山鎮,社寮里,275,189230,688,500,312,849,676.98,98.38
竹山鎮,中央里,255,164823,646,519,299,836,497.87,77.03
竹山鎮,富州里,143,88559,619,529,295,780,463.40,74.83
竹山鎮,大鞍里,42,22737,541,457,354,686,326.87,60.38
竹山鎮,田子里,90,55612,618,490,317,817,521.03,84.32
竹山鎮,福興里,78,48884,627,442,297,789,514.26,82.06
竹山鎮,鯉魚里,133,70366,529,458,236,682,456.47,86.28
竹山鎮,坪頂里,56,41423,740,570,329,1048,658.74,89.06
竹山鎮,瑞竹里,100,55702,557,446,265,677,604.29,108.49
竹山鎮,桶頭里,109,83704,768,445,233,674,2477.91,322.67
竹山鎮,秀林里,114,68203,598,510,290,767,456.78,76.35
竹山鎮,延祥里,902,561335,622,506,290,800,516.65,83.02
竹山鎮,竹圍里,588,413688,704,542,344,886,588.78,83.69
竹山鎮,其他,0,0,0,0,0,0,0.00,0.00
竹山鎮,合計,10788,7482738,694,526,314,864,688.52,99.26
集集鎮,集集里,269,199694,742,572,320,909,651.98,87.83
集集鎮,和平里,217,161247,743,558,342,945,703.68,94.70
集集鎮,林尾里,113,99124,877,616,382,1087,828.99,94.50
集集鎮,田寮里,299,230207,770,723,383,1024,513.02,66.63
集集鎮,隘寮里,105,78705,750,605,337,952,736.57,98.27
集集鎮,玉映里,119,86646,728,558,324,956,609.13,83.66
集集鎮,吳厝里,207,136724,661,494,321,841,549.42,83.18
集集鎮,八張里,332,226707,683,540,318,889,639.88,93.71
集集鎮,永昌里,229,196622,859,589,330,1092,1115.68,129.94
集集鎮,富山里,103,63212,614,476,286,758,611.23,99.60
集集鎮,廣明里,187,149482,799,573,345,1051,680.78,85.16
集集鎮,其他,0,0,0,0,0,0,0.00,0.00
集集鎮,合計,2180,1628370,747,574,332,946,708.09,94.80
名間鄉,南雅村,257,176832,688,539,324,913,530.81,77.15
名間鄉,中正村,876,618327,706,549,334,885,636.86,90.23
名間鄉,中山村,555,372854,672,508,290,779,762.15,113.45
名間鄉,濁水村,354,241399,682,509,308,786,640.26,93.89
名間鄉,炭寮村,210,159688,760,505,326,773,1449.20,190.58
名間鄉,新民村,205,121034,590,481,288,742,474.52,80.37
名間鄉,新街村,1168,756844,648,505,305,822,601.12,92.77
名間鄉,東湖村,409,279246,683,546,343,827,566.16,82.92
名間鄉,仁和村,178,108388,609,493,319,784,460.67,75.65
名間鄉,萬丹村,221,148920,674,508,301,837,780.42,115.82
名間鄉,田仔村,305,208030,682,487,297,877,620.12,90.92
名間鄉,新光村,414,298947,722,564,329,907,665.63,92.18
名間鄉,大庄村,375,255296,681,548,311,864,558.12,81.98
名間鄉,??下村,159,117406,738,562,356,900,707.94,95.87
名間鄉,大坑村,165,107802,653,526,278,828,568.92,87.08
名間鄉,竹圍村,175,111068,635,520,312,774,585.31,92.22
名間鄉,赤水村,212,146928,693,515,296,841,657.06,94.81
名間鄉,三崙村,306,215067,703,540,322,868,593.62,84.46
名間鄉,松山村,352,232049,659,469,311,781,752.51,114.15
名間鄉,松柏村,227,146144,644,516,291,784,612.81,95.19
名間鄉,埔中村,200,121582,608,445,297,671,599.84,98.67
名間鄉,崁腳村,205,133303,650,502,300,821,541.44,83.26
名間鄉,新厝村,169,106925,633,470,282,832,546.89,86.44
名間鄉,其他,0,0,0,0,0,0,0.00,0.00
名間鄉,合計,7697,5184076,674,517,311,831,663.11,98.45
鹿谷鄉,鹿谷村,405,305215,754,582,334,937,742.69,98.55
鹿谷鄉,初鄉村,313,213097,681,504,333,861,596.83,87.66
鹿谷鄉,彰雅村,265,214694,810,575,336,918,1002.86,123.78
鹿谷鄉,廣興村,445,351752,790,584,329,1015,675.13,85.41
鹿谷鄉,內湖村,194,126526,652,526,282,762,643.74,98.70
鹿谷鄉,竹林村,242,187332,774,543,330,948,768.11,99.23
鹿谷鄉,竹豐村,152,97539,642,538,335,793,550.13,85.73
鹿谷鄉,和雅村,104,66938,644,492,313,807,581.35,90.32
鹿谷鄉,鳳凰村,292,200767,688,552,338,832,663.46,96.50
鹿谷鄉,永隆村,339,255032,752,585,379,924,623.31,82.85
鹿谷鄉,秀峰村,141,105342,747,524,363,813,814.67,109.04
鹿谷鄉,清水村,131,86326,659,536,339,782,542.03,82.25
鹿谷鄉,瑞田村,121,100868,834,550,382,861,1571.09,188.47
鹿谷鄉,其他,0,0,0,0,0,0,0.00,0.00
鹿谷鄉,合計,3144,2311430,735,554,335,890,757.15,102.99
中寮鄉,廣興村,159,94026,591,441,275,748,501.58,84.82
中寮鄉,崁頂村,91,58327,641,436,252,819,591.23,92.24
中寮鄉,和興村,105,67253,641,518,249,795,690.16,107.75
中寮鄉,八仙村,167,104928,628,474,272,773,631.62,100.53
中寮鄉,福盛村,107,69208,647,505,330,855,528.97,81.78
中寮鄉,永平村,437,277986,636,476,276,770,556.10,87.42
中寮鄉,復興村,62,36333,586,445,259,887,444.61,75.87
中寮鄉,中寮村,158,106442,674,479,308,718,846.30,125.62
中寮鄉,廣福村,101,72103,714,524,283,833,806.28,112.94
中寮鄉,永福村,321,225519,703,495,290,873,768.56,109.39
中寮鄉,義和村,238,134187,564,459,307,678,416.76,73.92
中寮鄉,清水村,122,76637,628,539,302,765,611.51,97.35
中寮鄉,龍安村,149,89075,598,522,338,704,469.23,78.49
中寮鄉,龍岩村,151,90259,598,463,299,725,477.31,79.85
中寮鄉,永和村,107,59169,553,442,266,639,481.42,87.06
中寮鄉,內城村,90,60674,674,483,311,835,773.89,114.79
中寮鄉,爽文村,103,57223,556,460,317,668,421.73,75.91
中寮鄉,永芳村,86,43535,506,425,241,646,402.91,79.59
中寮鄉,其他,1,391,391,391,391,391,0.00,0.00
中寮鄉,合計,2755,1723275,626,477,288,755,602.63,96.34
魚池鄉,東池村,327,216221,661,459,312,852,618.16,93.49
魚池鄉,魚池村,471,341518,725,557,336,964,572.82,79.00
魚池鄉,中明村,178,107838,606,488,321,734,494.12,81.56
魚池鄉,新城村,240,153607,640,534,324,827,569.76,89.02
魚池鄉,大林村,199,116043,583,469,285,734,503.40,86.33
魚池鄉,大雁村,127,101121,796,555,318,888,1101.79,138.38
魚池鄉,五城村,161,98618,613,483,298,749,527.66,86.14
魚池鄉,東光村,164,113836,694,483,292,768,1214.08,174.91
魚池鄉,共和村,144,88319,613,481,304,697,667.26,108.79
魚池鄉,水社村,180,130869,727,510,334,876,647.30,89.03
魚池鄉,頭社村,155,92013,594,490,275,721,582.25,98.08
魚池鄉,武登村,101,63037,624,477,311,804,504.30,80.80
魚池鄉,日月村,149,180290,1210,517,315,914,4856.25,401.34
魚池鄉,其他,0,0,0,0,0,0,0.00,0.00
魚池鄉,合計,2596,1803329,695,505,313,804,1337.86,192.59
國姓鄉,國姓村,318,224632,706,468,292,868,835.86,118.33
國姓鄉,石門村,339,213477,630,487,289,810,556.13,88.31
國姓鄉,大旗村,82,51112,623,526,348,776,478.78,76.81
國姓鄉,北港村,312,205093,657,460,272,837,625.78,95.20
國姓鄉,長流村,246,139150,566,473,296,710,450.61,79.66
國姓鄉,福龜村,336,208350,620,469,276,749,661.74,106.72
國姓鄉,乾溝村,144,89878,624,498,311,807,482.32,77.28
國姓鄉,柑林村,202,105777,524,412,239,710,435.81,83.23
國姓鄉,南港村,283,153132,541,461,269,744,421.88,77.97
國姓鄉,北山村,216,130373,604,468,297,675,621.91,103.04
國姓鄉,大石村,112,76918,687,551,289,858,611.20,89.00
國姓鄉,長福村,117,53443,457,361,213,621,382.22,83.68
國姓鄉,長豐村,97,59667,615,498,302,685,550.40,89.48
國姓鄉,其他,1,614,614,614,614,614,0.00,0.00
國姓鄉,合計,2805,1711617,610,470,279,757,586.86,96.17
水里鄉,水里村,156,89323,573,493,273,745,458.92,80.15
水里鄉,農富村,127,75519,595,455,269,762,491.15,82.60
水里鄉,新城村,328,210842,643,507,276,777,778.42,121.10
水里鄉,中央村,137,80405,587,456,254,777,474.16,80.79
水里鄉,城中村,182,128709,707,536,284,858,649.04,91.78
水里鄉,北埔村,264,178542,676,539,322,841,586.64,86.74
水里鄉,鉅工村,278,232490,836,594,323,1322,761.39,91.04
水里鄉,永豐村,323,193269,598,459,272,734,522.58,87.34
水里鄉,頂崁村,258,153538,595,490,254,766,504.73,84.81
水里鄉,車埕村,83,51987,626,450,254,785,728.89,116.37
水里鄉,新興村,104,56308,541,507,332,702,331.06,61.15
水里鄉,新山村,37,38846,1050,692,601,1008,1278.02,121.73
水里鄉,郡坑村,49,24666,503,437,282,649,355.57,70.64
水里鄉,上安村,183,106586,582,499,301,748,423.41,72.70
水里鄉,民和村,116,68457,590,430,251,655,590.99,100.14
水里鄉,永興村,58,31539,544,510,312,708,336.00,61.79
水里鄉,玉峰村,149,82913,556,458,252,715,442.47,79.51
水里鄉,興隆村,48,26781,558,448,290,714,475.54,85.23
水里鄉,南光村,412,280624,681,526,323,890,570.26,83.72
水里鄉,其他,0,0,0,0,0,0,0.00,0.00
水里鄉,合計,3292,2111343,641,498,285,808,596.42,92.99
信義鄉,明德村,280,194557,695,529,325,909,579.73,83.43
信義鄉,地利村,147,89117,606,525,378,757,429.23,70.80
信義鄉,人和村,147,97276,662,603,435,784,403.21,60.93
信義鄉,愛國村,92,64579,702,522,296,815,751.35,107.04
信義鄉,自強村,121,77144,638,427,278,768,709.74,111.32
信義鄉,羅娜村,189,129147,683,586,359,903,496.58,72.67
信義鄉,望美村,244,164886,676,541,355,811,574.66,85.04
信義鄉,同富村,191,137687,721,560,338,875,635.72,88.19
信義鄉,神木村,76,43599,574,418,257,617,821.93,143.28
信義鄉,東埔村,163,101690,624,567,389,781,382.37,61.29
信義鄉,潭南村,67,33004,493,414,238,697,338.15,68.65
信義鄉,雙龍村,72,37088,515,492,243,660,341.35,66.27
信義鄉,新鄉村,80,57504,719,623,462,898,431.91,60.09
信義鄉,豐丘村,94,59951,638,551,347,850,443.82,69.59
信義鄉,其他,0,0,0,0,0,0,0.00,0.00
信義鄉,合計,1963,1287229,656,546,334,811,547.98,83.57
仁愛鄉,大同村,323,236384,732,577,316,928,627.93,85.80
仁愛鄉,春陽村,150,86377,576,524,346,727,335.69,58.29
仁愛鄉,合作村,60,37476,625,508,283,827,492.94,78.92
仁愛鄉,發祥村,95,59747,629,514,375,786,436.17,69.35
仁愛鄉,力行村,68,51524,758,627,382,975,515.80,68.07
仁愛鄉,法治村,82,50177,612,553,343,757,385.39,62.98
仁愛鄉,親愛村,199,133297,670,556,360,851,467.71,69.83
仁愛鄉,中正村,139,86700,624,534,329,745,551.80,88.47
仁愛鄉,互助村,194,141946,732,617,362,996,486.72,66.52
仁愛鄉,新生村,97,60007,619,508,361,781,434.45,70.23
仁愛鄉,萬豐村,75,48534,647,565,381,791,447.58,69.17
仁愛鄉,精英村,111,69875,630,496,253,809,525.93,83.55
仁愛鄉,南豐村,202,136200,674,570,355,860,505.46,74.97
仁愛鄉,榮興村,11,7484,680,502,330,1006,502.77,73.90
仁愛鄉,翠華村,41,22356,545,465,266,701,396.29,72.68
仁愛鄉,都達村,56,36348,649,610,317,864,421.67,64.97
仁愛鄉,其他,0,0,0,0,0,0,0.00,0.00
仁愛鄉,合計,1903,1264433,664,555,337,846,500.24,75.29
其他,其他,18,11818,657,603,301,1055,468.37,71.34
其他,合計,18,11818,657,603,301,1055,468.37,71.34
