鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
新莊區,海山里,1696,1385918,817,562,339,991,1014.77,124.18
新莊區,全安里,1386,1230639,888,623,365,1067,1034.29,116.49
新莊區,文衡里,666,601834,904,628,368,1160,883.69,97.79
新莊區,興漢里,1130,1073710,950,573,353,1034,4174.87,439.37
新莊區,榮和里,922,861059,934,549,332,933,4345.41,465.3
新莊區,文德里,543,476947,878,624,377,1154,812.78,92.53
新莊區,文明里,565,524920,929,566,352,1064,1417.72,152.6
新莊區,中港里,2020,1684892,834,601,368,1036,789.37,94.64
新莊區,頭前里,2491,2879861,1156,702,385,1350,1602.23,138.59
新莊區,丹鳳里,2353,1752895,745,572,364,930,648.49,87.05
新莊區,西盛里,3413,2873791,842,622,383,1044,811.94,96.43
新莊區,瓊林里,1659,1219922,735,545,346,918,655.26,89.11
新莊區,營盤里,816,630237,772,545,310,993,766.71,99.27
新莊區,後港里,2219,1701433,767,565,342,970,710.65,92.68
新莊區,國泰里,500,371116,742,522,302,861,955.24,128.7
新莊區,立人里,759,773519,1019,674,381,1270,1092.97,107.25
新莊區,恆安里,1348,1169339,867,624,367,1083,802.19,92.48
新莊區,思源里,1682,1339819,797,565,355,975,831.72,104.41
新莊區,化成里,1195,1009773,845,553,334,975,950.26,112.46
新莊區,福基里,1444,1543536,1069,698,393,1354,1106.28,103.49
新莊區,思賢里,1284,1080541,842,591,361,1062,845.47,100.47
新莊區,中美里,1665,1343959,807,574,356,970,797.79,98.84
新莊區,中和里,1373,1079817,786,547,355,901,787.7,100.16
新莊區,中泰里,1224,849934,694,530,336,886,569.2,81.97
新莊區,立言里,1693,1413965,835,588,357,1027,812.56,97.29
新莊區,立功里,997,689506,692,529,353,870,574.52,83.07
新莊區,立德里,817,866527,1061,647,343,1149,2152.46,202.94
新莊區,豐年里,1104,841515,762,554,349,868,1032.98,135.52
新莊區,忠孝里,1535,1220490,795,588,356,1000,712.6,89.62
新莊區,立志里,1164,932078,801,569,358,955,882.67,110.23
新莊區,中誠里,645,802547,1244,555,359,978,7776.22,624.97
新莊區,自立里,1509,1133749,751,543,344,922,768.08,102.23
新莊區,自強里,651,397944,611,471,325,729,511.37,83.66
新莊區,幸福里,1232,795612,646,512,327,802,513.66,79.54
新莊區,仁愛里,748,480979,643,534,346,793,465.14,72.34
新莊區,信義里,1608,1267470,788,562,358,938,838.62,106.39
新莊區,龍鳳里,2795,2655706,950,680,402,1198,1135.87,119.54
新莊區,民安里,1788,1387432,776,582,364,965,734.14,94.61
新莊區,光華里,2093,1655833,791,575,368,936,1575.62,199.16
新莊區,富國里,758,486057,641,521,326,817,501.1,78.15
新莊區,裕民里,1938,1423147,734,554,344,885,911.48,124.12
新莊區,南港里,1646,1182241,718,561,349,890,615.83,85.74
新莊區,萬安里,1200,800804,667,542,336,809,569,85.26
新莊區,八德里,918,621379,677,532,354,803,620.33,91.64
新莊區,民本里,869,534703,615,503,342,776,461.47,75
新莊區,光榮里,1276,943374,739,563,359,940,618.91,83.71
