鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
馬公市,長安里,175,166872,954,649,315,1185,1095.35,114.87
馬公市,復興里,224,188434,841,746,561,984,553.20,65.76
馬公市,新復里,0,0,0,0,0,0,0.00,0.00
馬公市,中央里,144,110414,767,606,315,1081,648.05,84.52
馬公市,?明里,289,303469,1050,717,386,1319,1119.48,106.61
馬公市,重慶里,319,271837,852,624,316,1076,948.22,111.27
馬公市,光復里,599,519764,868,673,384,1065,831.51,95.83
馬公市,光明里,424,390409,921,741,430,1236,709.90,77.10
馬公市,重光里,449,413923,922,745,448,1207,690.90,74.94
馬公市,西衛里,1316,1265071,961,755,437,1280,808.45,84.10
馬公市,朝陽里,1741,1557239,894,700,411,1198,715.96,80.04
馬公市,東文里,998,868389,870,705,407,1190,710.42,81.65
馬公市,西文里,1029,919850,894,709,416,1225,716.59,80.16
馬公市,案山里,668,560302,839,749,480,1060,551.03,65.69
馬公市,光華里,297,273853,922,846,635,1067,501.35,54.37
馬公市,前寮里,302,300058,994,759,470,1215,930.65,93.67
馬公市,石泉里,785,871847,1111,765,467,1241,3959.24,356.49
馬公市,菜園里,109,87937,807,667,407,1036,546.57,67.75
馬公市,東衛里,587,506137,862,741,434,1150,629.85,73.05
馬公市,安宅里,142,121913,859,707,405,1155,660.18,76.90
馬公市,烏崁里,233,171587,736,615,384,950,512.13,69.54
馬公市,興仁里,287,227332,792,651,380,964,613.25,77.42
馬公市,鐵線里,142,102968,725,566,311,832,817.35,112.72
馬公市,山水里,357,276411,774,596,322,967,683.07,88.22
馬公市,鎖港里,557,415620,746,632,384,966,556.86,74.63
馬公市,井垵里,66,48491,735,652,378,894,529.42,72.06
馬公市,?裡里,251,194601,775,634,392,986,578.01,74.55
馬公市,風櫃里,222,146431,660,587,380,835,470.80,71.38
馬公市,虎井里,185,140214,758,642,365,940,606.92,80.08
馬公市,桶盤里,43,29489,686,621,369,956,492.32,71.79
馬公市,中興里,285,261460,917,732,450,1217,766.88,83.59
馬公市,五德里,132,93167,706,629,420,785,620.73,87.95
馬公市,光榮里,1329,1256285,945,741,414,1244,788.94,83.46
馬公市,陽明里,777,721079,928,717,383,1249,783.84,84.46
馬公市,其他,0,0,0,0,0,0,0.00,0.00
馬公市,合計,15463,13782852,891,708,413,1140,1143.99,128.34
湖西鄉,湖西村,272,232632,855,700,399,1122,616.93,72.13
湖西鄉,湖東村,71,52676,742,652,362,957,513.51,69.21
湖西鄉,南寮村,137,104097,760,559,314,954,675.80,88.94
湖西鄉,白坑村,42,23023,548,376,228,641,610.44,111.36
湖西鄉,青螺村,49,36938,754,579,338,997,631.69,83.80
湖西鄉,紅羅村,171,122769,718,615,299,889,584.31,81.39
湖西鄉,西溪村,213,164015,770,705,513,909,462.00,60.00
湖西鄉,沙港村,193,157268,815,712,359,1109,614.75,75.44
湖西鄉,成功村,215,166641,775,646,399,953,557.84,71.97
湖西鄉,東石村,24,19599,817,713,399,1041,600.69,73.56
湖西鄉,鼎灣村,166,135549,817,676,432,1063,624.59,76.49
湖西鄉,中西村,46,40843,888,662,492,1134,749.58,84.42
湖西鄉,潭邊村,55,43365,788,677,368,1014,523.74,66.43
湖西鄉,許家村,92,76707,834,627,436,1101,576.89,69.19
湖西鄉,隘門村,256,212845,831,710,469,1023,563.63,67.79
湖西鄉,林投村,231,162920,705,575,385,939,500.41,70.95
湖西鄉,尖山村,152,107258,706,599,351,859,529.62,75.05
湖西鄉,龍門村,428,291039,680,594,365,890,445.44,65.51
湖西鄉,?葉村,139,104439,751,660,375,966,562.13,74.81
湖西鄉,北寮村,66,45954,696,627,403,828,410.23,58.92
湖西鄉,城北村,85,63034,742,617,460,905,517.49,69.78
湖西鄉,太武村,21,15737,749,608,380,798,522.88,69.77
湖西鄉,其他,0,0,0,0,0,0,0.00,0.00
湖西鄉,合計,3124,2379347,762,639,381,972,555.75,72.97
白沙鄉,中屯村,132,108622,823,666,405,1189,564.95,68.65
白沙鄉,講美村,174,131999,759,659,419,943,559.66,73.77
白沙鄉,城前村,33,30519,925,692,476,1240,681.15,73.65
白沙鄉,鎮海村,34,22302,656,525,338,767,506.22,77.17
白沙鄉,港子村,75,52532,700,526,330,938,560.32,80.00
白沙鄉,小赤村,45,38853,863,678,373,891,836.88,96.93
白沙鄉,岐頭村,51,36091,708,538,325,889,550.26,77.76
白沙鄉,赤崁村,398,330172,830,728,422,1044,568.05,68.47
白沙鄉,瓦硐村,44,40438,919,761,527,1198,619.32,67.39
白沙鄉,後寮村,136,98316,723,629,375,899,527.53,72.97
白沙鄉,通梁村,161,112264,697,544,301,896,582.37,83.52
白沙鄉,吉貝村,186,132558,713,568,321,836,650.31,91.25
白沙鄉,鳥嶼村,176,113755,646,510,348,834,469.98,72.71
白沙鄉,員貝村,40,31822,796,620,368,1174,582.43,73.21
白沙鄉,大倉村,64,40564,634,594,378,798,391.81,61.82
白沙鄉,其他,0,0,0,0,0,0,0.00,0.00
白沙鄉,合計,1749,1320807,755,628,363,964,573.52,75.95
西嶼鄉,合界村,76,61359,807,639,361,1056,677.91,83.97
西嶼鄉,橫礁村,49,32827,670,538,442,767,532.45,79.48
西嶼鄉,竹灣村,156,111350,714,590,349,917,509.71,71.41
西嶼鄉,小門村,58,43972,758,605,430,948,550.13,72.56
西嶼鄉,大池村,109,80791,741,546,352,847,708.81,95.63
西嶼鄉,二崁村,23,41178,1790,597,357,913,5365.97,299.72
西嶼鄉,池東村,145,119604,825,686,384,1030,674.31,81.75
西嶼鄉,池西村,38,36345,956,685,361,1243,891.95,93.26
西嶼鄉,赤馬村,100,56522,565,515,291,796,355.67,62.92
西嶼鄉,內垵村,251,166020,661,533,342,808,569.49,86.10
西嶼鄉,外垵村,331,237502,718,588,369,884,606.83,84.57
西嶼鄉,其他,0,0,0,0,0,0,0.00,0.00
西嶼鄉,合計,1336,987471,739,583,352,896,922.88,124.86
望安鄉,東安村,228,204725,898,782,396,1327,591.28,65.85
望安鄉,西安村,141,118993,844,733,381,1039,664.37,78.72
望安鄉,將軍村,218,153797,705,584,320,917,598.22,84.79
望安鄉,中社村,76,57536,757,554,307,937,734.74,97.05
望安鄉,花嶼村,45,34792,773,665,476,944,468.84,60.64
望安鄉,水垵村,83,70151,845,696,383,1178,584.26,69.13
望安鄉,東吉村,48,31314,652,585,326,875,486.05,74.50
望安鄉,東坪村,71,49492,697,600,382,869,482.46,69.21
望安鄉,西坪村,42,22427,534,443,251,735,472.21,88.43
望安鄉,其他,0,0,0,0,0,0,0.00,0.00
望安鄉,合計,952,743227,781,647,356,1043,600.27,76.89
七美鄉,東湖村,43,25065,583,485,330,753,380.65,65.30
七美鄉,西湖村,109,82199,754,541,265,1028,681.97,90.43
七美鄉,中和村,156,108252,694,644,350,869,481.90,69.45
七美鄉,平和村,87,71507,822,743,590,1108,443.62,53.97
七美鄉,南港村,250,197568,790,648,369,1013,634.57,80.30
七美鄉,海豐村,54,41617,771,703,323,1093,558.62,72.48
七美鄉,其他,0,0,0,0,0,0,0.00,0.00
七美鄉,合計,699,526207,753,644,357,971,572.29,76.02
其他,其他,9,4177,464,300,83,632,526.35,113.41
其他,合計,9,4177,464,300,83,632,526.35,113.41
