鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
屏東市,勝豐里,94,64954,691,490,304,924,650.41,94.13
屏東市,金泉里,148,109443,739,470,266,873,860.19,116.32
屏東市,慶春里,84,95493,1137,557,322,883,4259.38,374.67
屏東市,平和里,223,167265,750,498,258,890,865.30,115.36
屏東市,楠樹里,143,92626,648,578,303,843,481.39,74.32
屏東市,扶風里,162,138973,858,547,363,992,1114.58,129.93
屏東市,橋南里,405,349015,862,645,377,1110,844.63,98.01
屏東市,橋北里,236,178721,757,600,363,931,632.57,83.53
屏東市,長春里,614,539562,879,638,396,1134,748.83,85.21
屏東市,豐田里,1331,1155477,868,651,378,1118,788.89,90.87
屏東市,安樂里,143,132658,928,585,318,1072,1189.31,128.20
屏東市,歸心里,233,148703,638,519,299,808,587.72,92.09
屏東市,湖西里,346,250595,724,579,360,963,565.32,78.05
屏東市,瑞光里,2195,1900518,866,654,365,1154,748.97,86.50
屏東市,湖南里,254,175763,692,563,347,860,533.31,77.07
屏東市,長安里,402,259988,647,523,318,788,522.37,80.77
屏東市,厚生里,710,461391,650,529,334,808,505.62,77.81
屏東市,大湖里,406,270288,666,542,328,817,540.17,81.14
屏東市,頂宅里,94,64987,691,531,328,854,548.78,79.38
屏東市,新生里,1520,1155096,760,588,367,1005,622.70,81.94
屏東市,永安里,1947,1480186,760,585,367,976,633.02,83.27
屏東市,萬年里,135,93669,694,514,297,933,568.94,82.00
屏東市,安鎮里,474,324084,684,554,315,858,581.94,85.11
屏東市,永昌里,44,28697,652,434,290,712,898.90,137.82
屏東市,光華里,178,125046,703,551,296,953,701.02,99.79
屏東市,一心里,428,372933,871,612,324,1190,789.55,90.61
屏東市,義勇里,450,517429,1150,860,412,1497,1303.08,113.33
屏東市,公館里,342,261851,766,610,378,944,619.14,80.87
屏東市,龍華里,523,398612,762,540,332,927,851.76,111.76
屏東市,玉成里,319,226404,710,553,355,935,525.48,74.04
屏東市,新興里,766,624756,816,733,437,1058,541.53,66.40
屏東市,頂柳里,240,156146,651,502,329,761,514.97,79.15
屏東市,擇仁里,190,112446,592,459,293,771,454.94,76.87
屏東市,清溪里,1219,930970,764,614,375,1004,601.75,78.79
屏東市,前進里,693,470718,679,539,342,859,553.04,81.42
屏東市,大洲里,284,184609,650,513,314,813,522.22,80.34
屏東市,永光里,246,166016,675,531,328,773,595.86,88.29
屏東市,永順里,63,42269,671,505,347,816,567.81,84.63
屏東市,大埔里,174,122824,706,529,301,927,603.10,85.44
屏東市,大同里,189,139074,736,538,281,892,785.65,106.77
屏東市,文明里,89,87101,979,677,349,1330,1038.78,106.14
屏東市,光榮里,191,143634,752,559,304,862,755.79,100.50
屏東市,端正里,88,85972,977,666,349,1039,1176.56,120.43
屏東市,武廟里,134,130287,972,673,389,1165,1022.76,105.19
屏東市,必信里,147,106972,728,578,310,946,624.66,85.84
屏東市,崇禮里,63,54688,868,573,362,1051,911.66,105.02
屏東市,崇智里,120,76652,639,501,298,833,544.42,85.23
屏東市,民權里,181,138574,766,576,337,964,624.56,81.58
屏東市,維新里,631,428101,678,565,328,850,578.95,85.33
屏東市,斯文里,542,473616,874,642,366,1104,844.58,96.65
屏東市,泰安里,210,211280,1006,683,329,1134,1710.75,170.04
屏東市,仁義里,252,175280,696,601,334,909,536.14,77.08
屏東市,三山里,300,194552,649,506,322,850,518.03,79.88
屏東市,海豐里,193,146578,759,602,363,860,894.12,117.73
屏東市,和興里,181,111706,617,524,329,779,480.36,77.84
屏東市,崇蘭里,3652,3224140,883,698,414,1142,757.17,85.76
屏東市,空翔里,427,360084,843,631,368,1090,739.14,87.65
屏東市,廣興里,474,328836,694,559,323,851,610.71,88.03
屏東市,潭墘里,3199,2427356,759,619,368,992,607.77,80.10
屏東市,明正里,237,266437,1124,678,363,1165,3649.74,324.65
屏東市,溝美里,679,540610,796,590,367,994,693.42,87.09
