鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中區,繼光里,455,380839,837,513,304,907,1371.04,163.8
中區,大墩里,673,773950,1150,569,309,1143,5338.45,464.21
中區,綠川里,520,392532,755,501,248,883,880.23,116.61
中區,公園里,475,494159,1040,584,314,1145,1471.72,141.47
中區,光復里,602,683574,1136,576,291,1136,3252.81,286.46
中區,柳川里,456,358721,787,534,298,968,908.43,115.48
中區,大誠里,603,498268,826,596,331,1028,879.52,106.44
中區,中華里,445,405561,911,543,302,1105,1278.09,140.24
中區,其他,0,0,0,0,0,0,0,0
中區,合計,4229,3987603,943,553,301,1042,2639.58,279.94
東區,新庄里,864,750899,869,556,315,988,1023.64,117.78
東區,泉源里,509,376673,740,538,292,927,692.56,93.59
東區,東門里,2179,1544954,709,504,294,839,745.32,105.12
東區,東勢里,737,543034,737,548,323,953,637.02,86.46
東區,合作里,1063,784292,738,593,336,929,662.17,89.75
東區,振興里,978,777917,795,548,308,982,1377.67,173.2
東區,東橋里,1169,991014,848,508,287,918,3467.67,409.05
東區,旱溪里,689,719474,1044,556,304,906,7960.74,762.36
東區,樂成里,595,460517,774,551,314,954,766.69,99.06
東區,干城里,719,577636,803,570,323,969,800.7,99.67
東區,東南里,1078,813262,754,538,320,924,804.59,106.65
東區,十甲里,1405,1129037,804,542,319,970,988.8,123.05
東區,富臺里,439,284346,648,508,290,830,596.51,92.1
東區,富仁里,1181,1023585,867,599,322,1098,926.97,106.95
東區,東興里,992,821019,828,576,314,1004,1184.43,143.11
東區,東信里,3003,2390348,796,544,314,932,2966.69,372.71
東區,東英里,2155,1899305,881,605,330,1140,1009.59,114.55
東區,其他,1,233,233,233,233,233,0,0
東區,合計,19756,15887547,804,550,313,962,2213.45,275.24
西區,民生里,700,759131,1084,700,349,1313,1918.21,176.88
西區,利民里,513,643313,1254,803,379,1563,1476.56,117.75
西區,三民里,675,863344,1279,886,397,1754,1324.77,103.58
西區,東昇里,871,919114,1055,726,399,1295,1081.34,102.47
西區,廣民里,454,415834,916,576,305,1017,1495.9,163.32
西區,平和里,702,694940,990,679,340,1336,1114,112.53
西區,公民里,1693,1808237,1068,649,358,1285,1542.31,144.4
西區,公?里,1789,1675138,936,614,343,1129,1151.7,123
西區,和龍里,638,516600,810,524,300,960,1272.19,157.12
西區,民龍里,1108,1244780,1123,665,364,1276,1434.1,127.65
西區,後龍里,1163,1518448,1306,671,339,1330,3374.43,258.45
西區,安龍里,1049,1271620,1212,648,346,1278,3449.91,284.59
西區,忠明里,2057,2571379,1250,642,341,1323,2396.44,191.71
西區,公正里,2288,2324143,1016,678,372,1276,1153.45,113.55
西區,昇平里,1968,1937192,984,646,348,1163,1187.91,120.68
西區,土庫里,2049,2688734,1312,689,355,1376,3107.13,236.78
西區,藍興里,1446,1469661,1016,690,369,1267,1304.56,128.36
西區,吉龍里,2388,3029728,1269,704,355,1366,3882.25,305.99
西區,忠誠里,2142,2416455,1128,643,330,1162,3471.36,307.71
西區,公益里,887,661710,746,540,322,933,694.68,93.12
西區,中興里,1295,2108208,1628,668,339,1328,7941.29,487.81
西區,公平里,1756,2059459,1173,663,345,1194,6654.04,567.36
西區,公德里,1567,1663529,1062,693,377,1289,1284.47,120.99
西區,大忠里,1635,1828315,1118,781,400,1440,1367.08,122.25
西區,?龍里,963,1029232,1069,621,336,1184,1624.27,151.97
西區,其他,0,0,0,0,0,0,0,0
西區,合計,33796,38118243,1128,666,352,1271,3046.58,270.11
南區,城隍里,1240,1000118,807,598,320,1028,863.45,107.06
南區,南門里,1288,1202080,933,625,348,1156,959.42,102.8
南區,德義里,1058,944702,893,623,352,1148,848.93,95.07
南區,積善里,863,698712,810,578,355,991,806.93,99.67
南區,江川里,1051,979229,932,636,327,1149,1052.33,112.95
南區,新榮里,1515,1367843,903,667,364,1177,971.15,107.56
南區,福興里,1308,1024970,784,589,326,1012,690.71,88.14
