鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東區,路東里,558,578922,1037,668,393,1183,1699.7,163.83
東區,大福里,567,383388,676,539,322,860,587.93,86.95
東區,東安里,441,396524,899,569,321,1050,1166.19,129.7
東區,德高里,814,680794,836,596,373,1027,831.22,99.39
東區,小東里,1475,1546178,1048,701,382,1309,1179.6,112.53
東區,後甲里,848,682087,804,608,354,997,795.5,98.9
東區,關聖里,1571,2389840,1521,955,448,1935,2704.57,177.79
東區,圍下里,709,831329,1173,680,377,1243,2099.85,179.09
東區,虎尾里,1616,1559616,965,659,384,1218,994.88,103.08
東區,中西里,1120,1534193,1370,714,386,1436,7104.53,518.65
東區,泉南里,1655,1826058,1103,684,366,1265,1490.78,135.11
東區,龍山里,1763,2302268,1306,869,432,1615,1711.98,131.1
東區,忠孝里,1449,1476827,1019,683,393,1220,1440.03,141.29
東區,崇誨里,782,594794,761,585,338,966,636.57,83.69
東區,大學里,497,668438,1345,910,423,1871,1357.66,100.95
東區,大德里,454,334787,737,542,315,915,659.04,89.37
東區,東光里,1825,2667136,1461,823,427,1570,3227.55,220.85
東區,大智里,2153,1874632,871,653,375,1083,808.68,92.88
東區,新東里,900,932811,1036,714,393,1335,1127.38,108.77
東區,仁和里,1327,1020737,769,604,368,976,679.9,88.39
東區,富強里,1528,1423787,932,620,378,1147,1081.72,116.09
東區,衛國里,457,481750,1054,588,360,1076,2050.48,194.51
東區,自強里,1764,1808714,1025,677,384,1240,1400.95,136.63
東區,崇善里,1681,1753694,1043,718,404,1329,1063.3,101.92
東區,崇學里,1044,1076665,1031,642,344,1267,1249.81,121.19
東區,崇明里,1482,1807143,1219,800,403,1574,1466.73,120.28
東區,裕農里,963,923316,959,614,336,1124,1451.68,151.41
東區,莊敬里,1337,1472112,1101,731,390,1339,1228.28,111.55
東區,和平里,1698,1959661,1154,769,422,1414,1418.26,122.89
東區,富裕里,704,592207,841,598,362,1042,798.88,94.97
東區,東明里,1160,1249165,1077,662,375,1275,1508.06,140.04
東區,崇德里,1628,1616760,993,696,400,1226,1080.91,108.84
東區,東智里,665,529086,796,611,367,968,705.71,88.7
東區,東聖里,720,569497,791,609,371,974,755.9,95.57
東區,崇成里,999,1038316,1039,694,384,1283,1174.8,113.03
東區,東門里,660,918508,1392,572,337,1146,10530.93,756.71
東區,成大里,614,596133,971,649,379,1194,1010.78,104.11
東區,大同里,844,740406,877,564,337,956,1328.71,151.46
東區,德光里,1518,1774639,1169,719,394,1383,3236.54,276.85
東區,崇信里,1254,1169639,933,678,386,1223,941.53,100.94
東區,崇文里,2034,1996978,982,712,384,1253,997.58,101.61
東區,復興里,1057,916284,867,615,364,1060,885.25,102.12
東區,裕聖里,1632,2346617,1438,1091,571,1929,1314.96,91.45
東區,文聖里,1534,2198604,1433,1064,520,1915,1431.16,99.85
東區,南聖里,870,1388261,1596,929,451,1921,4369.55,273.83
東區,其他,0,0,0,0,0,0,0,0
東區,合計,52371,56629302,1081,701,388,1295,2237.67,206.94
南區,竹溪里,628,828977,1320,708,368,1410,2179.84,165.14
南區,新昌里,657,492868,750,541,300,909,742.44,98.97
南區,田寮里,955,742185,777,576,368,919,790.99,101.78
南區,荔宅里,51,59001,1157,1069,392,1779,894.94,77.36
南區,明亮里,1008,707775,702,530,325,839,633.05,90.16
南區,日新里,564,396871,704,501,330,790,1103.61,156.84
南區,光明里,1126,744513,661,522,348,808,544.92,82.41
南區,白雪里,431,278270,646,516,334,809,572.57,88.68
