鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
松山區,中崙里,1469,2085583,1420,875,422,1634,2348.64,165.43
松山區,自強里,3168,4386180,1385,836,419,1622,3506.36,253.25
松山區,鵬程里,1909,2350968,1232,748,403,1502,1864.91,151.43
松山區,東榮里,2933,5380598,1835,926,437,1996,4628.81,252.32
松山區,介壽里,1567,2625538,1676,898,450,1785,4618.73,275.66
松山區,東勢里,1653,2589287,1566,785,409,1599,8839.33,564.3
松山區,東光里,2657,3481550,1310,797,401,1623,2078.31,158.61
松山區,中正里,3542,6432393,1816,1012,474,1976,6504.44,358.17
松山區,復盛里,2308,2625201,1137,737,385,1365,2800.48,246.21
松山區,復勢里,2302,2946532,1280,795,411,1581,1635.6,127.78
松山區,美仁里,1251,1886810,1508,888,434,1779,2114.91,140.22
松山區,吉仁里,1447,1987867,1374,824,415,1639,2260.89,164.57
松山區,精忠里,1573,3129364,1989,972,456,1924,7263.01,365.08
松山區,東昌里,935,1612398,1724,906,426,1807,6162.2,357.33
松山區,福成里,980,2039760,2081,907,428,1868,11459.14,550.55
松山區,中華里,2325,4653035,2001,992,467,2148,6123.69,305.98
松山區,吉祥里,3210,4334217,1350,774,403,1492,4484.6,332.14
松山區,新東里,1774,2016779,1137,782,397,1417,1262.67,111.07
松山區,三民里,2517,3541016,1407,803,407,1587,3529.74,250.9
松山區,復建里,1620,2122384,1310,855,443,1708,1422.2,108.56
松山區,敦化里,2541,3919057,1542,871,453,1699,4308.93,279.38
松山區,安平里,2912,2921534,1003,671,366,1268,1183.58,117.97
松山區,富錦里,1887,2709274,1436,797,404,1535,5867,408.63
松山區,莊敬里,1723,1741714,1011,726,414,1313,1027.19,101.62
松山區,新益里,1707,1847260,1082,724,386,1407,1201.6,111.04
松山區,富泰里,1699,2158835,1271,817,414,1579,1929.63,151.86
松山區,龍田里,3618,5512871,1524,1013,485,1976,1771.74,116.28
松山區,慈祐里,2411,2292259,951,654,369,1196,1031.68,108.51
松山區,復源里,1117,1573635,1409,793,401,1634,4265.78,302.79
松山區,民福里,2321,2548401,1098,719,390,1363,1386.7,126.3
松山區,松基里,1395,3255892,2334,846,403,1814,13558.14,580.9
