鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
臺東市,中山里,258,184822,716,523,276,891,715.95,99.94
臺東市,文化里,223,195953,879,612,368,1122,903.97,102.87
臺東市,中正里,272,229382,843,603,353,1053,808.57,95.88
臺東市,中華里,382,256716,672,510,322,843,535.92,79.75
臺東市,成功里,177,110152,622,541,315,795,451.15,72.49
臺東市,大同里,205,140335,685,504,291,857,614.63,89.79
臺東市,寶桑里,192,122497,638,485,304,784,588.16,92.19
臺東市,中心里,1015,934265,920,699,394,1195,810.31,88.03
臺東市,仁愛里,191,114890,602,512,323,747,473.46,78.71
臺東市,新生里,2079,1766960,850,665,382,1111,698.46,82.18
臺東市,復興里,103,73770,716,453,319,798,1505.44,210.19
臺東市,豐里里,474,351477,742,581,346,969,582.37,78.54
臺東市,豐年里,640,478303,747,545,327,950,682.56,91.33
臺東市,豐原里,236,158954,674,534,328,871,564.78,83.85
臺東市,康樂里,301,221039,734,553,334,926,722.45,98.38
臺東市,光明里,837,813856,972,729,409,1206,1920.81,197.54
臺東市,鐵花里,118,103408,876,631,343,1290,702.13,80.12
臺東市,四維里,122,79814,654,547,348,828,479.78,73.34
臺東市,新興里,239,179688,752,587,338,1002,649.56,86.40
臺東市,豐榮里,2496,2065574,828,647,372,1096,732.91,88.56
臺東市,永樂里,511,479909,939,712,382,1272,797.82,84.95
臺東市,興國里,200,163714,819,624,310,1128,704.23,86.03
臺東市,民族里,468,455302,973,699,374,1252,926.47,95.23
臺東市,建國里,301,184401,613,460,257,779,588.67,96.09
臺東市,強國里,143,95922,671,531,312,768,546.43,81.46
臺東市,民生里,985,817079,830,609,359,1078,734.38,88.53
臺東市,馬蘭里,865,695364,804,625,372,1080,653.48,81.29
臺東市,復國里,109,62525,574,419,235,748,487.96,85.07
臺東市,豐樂里,397,283525,714,545,345,953,569.99,79.81
臺東市,東海里,917,744417,812,625,379,1057,670.85,82.64
臺東市,民權里,249,221861,891,761,384,1190,732.57,82.22
臺東市,卑南里,876,892528,1019,781,437,1416,848.65,83.29
臺東市,南王里,651,478084,734,593,364,1006,545.27,74.25
臺東市,建和里,292,177836,609,473,301,780,493.56,81.04
臺東市,知本里,239,148599,622,524,324,741,443.96,71.40
臺東市,富岡里,223,137891,618,492,282,740,570.30,92.23
