鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
桃園區,文化里,256,311175,1216,663,371,1430,1729.61,142.29
桃園區,武陵里,536,581206,1084,654,379,1184,2207.66,203.59
桃園區,文昌里,320,313820,981,654,381,1094,1739.68,177.39
桃園區,長美里,329,288281,876,579,358,1136,855.21,97.60
桃園區,永興里,564,492386,873,596,321,1058,980.88,112.35
桃園區,南門里,1928,1784534,926,623,380,1139,1004.76,108.55
桃園區,東門里,1042,1046200,1004,619,364,1210,1282.87,127.77
桃園區,西門里,507,482924,953,580,346,1187,1203.58,126.36
桃園區,北門里,552,443088,803,562,335,964,952.55,118.67
桃園區,雲林里,2182,2098696,962,684,401,1235,925.47,96.22
桃園區,豐林里,2126,1855785,873,613,381,1077,921.52,105.57
桃園區,會稽里,3118,2849934,914,683,403,1158,846.95,92.66
桃園區,朝陽里,653,549576,842,608,356,1072,765.28,90.93
桃園區,青溪里,1526,1440734,944,615,366,1073,1498.09,158.68
桃園區,汴洲里,1524,1268288,832,606,372,1018,913.63,109.78
桃園區,東埔里,1419,1187474,837,589,369,1004,1102.53,131.75
桃園區,中埔里,773,641112,829,605,367,1065,738.33,89.02
桃園區,西埔里,1032,963918,934,650,396,1177,907.51,97.16
桃園區,中山里,2170,2229855,1028,707,409,1299,1047.25,101.91
桃園區,中正里,1766,1787057,1012,680,399,1270,1098.08,108.51
桃園區,龍岡里,1934,1803291,932,707,405,1199,877.18,94.08
桃園區,東山里,585,591198,1011,641,354,1085,2242.28,221.88
桃園區,南華里,431,391332,908,592,334,1052,1311.38,144.43
桃園區,大林里,3635,3300850,908,680,413,1121,1348.34,148.48
桃園區,文明里,498,479227,962,676,384,1139,1267.97,131.76
桃園區,建國里,1732,1402419,810,597,372,1002,729.27,90.07
桃園區,成功里,1520,1685931,1109,681,380,1311,1831.10,165.09
桃園區,忠義里,2735,2788350,1020,737,418,1270,1020.02,100.05
桃園區,永安里,1421,1173714,826,640,371,1062,705.76,85.44
桃園區,玉山里,1684,1545597,918,625,384,1086,1020.53,111.19
桃園區,中興里,1797,1686040,938,663,401,1134,943.82,100.59
桃園區,西湖里,464,488276,1052,662,366,1188,1690.62,160.66
桃園區,福林里,2003,1856796,927,686,404,1151,876.99,94.60
桃園區,慈文里,1945,1682187,865,641,396,1116,823.74,95.24
桃園區,新埔里,3102,3875152,1249,805,445,1470,1787.20,143.06
桃園區,萬壽里,352,277839,789,539,354,977,806.93,102.23
桃園區,中成里,1474,1411101,957,642,387,1108,1126.42,117.66
桃園區,長安里,1094,960270,878,571,357,979,1930.85,219.98
桃園區,光興里,1793,1830906,1021,715,417,1262,1015.93,99.49
桃園區,龍山里,1105,829694,751,554,365,899,683.71,91.06
桃園區,民生里,542,550974,1017,649,382,1181,1543.32,151.82
桃園區,中和里,467,401901,861,548,306,1032,1147.45,133.33
桃園區,大豐里,1667,1446219,868,610,378,1050,1353.25,155.98
桃園區,福安里,1459,1407371,965,661,390,1160,1621.80,168.13
桃園區,三民里,1578,1970819,1249,759,421,1350,1899.04,152.05
桃園區,大興里,3604,3596828,998,698,397,1262,1324.51,132.72
桃園區,春日里,2085,1747655,838,653,397,1059,717.19,85.56
桃園區,信光里,2240,2184571,975,662,391,1187,1273.55,130.59
桃園區,中寧里,2205,2614140,1186,855,449,1520,1228.74,103.64
桃園區,同安里,2704,3678528,1360,753,399,1533,2487.97,182.88
桃園區,莊敬里,2940,4125256,1403,832,430,1639,2147.43,153.04
桃園區,文中里,793,703596,887,636,379,1131,803.53,90.56
桃園區,泰山里,1359,1357332,999,672,374,1224,1378.75,138.04
桃園區,中路里,1379,1251816,908,658,410,1122,851.11,93.76
桃園區,中德里,2200,2031935,924,668,400,1147,952.51,103.13
桃園區,龍祥里,1580,1523458,964,716,419,1205,1060.23,109.96
桃園區,大有里,1816,1789788,986,769,436,1274,889.72,90.27
桃園區,寶山里,2682,2452929,915,683,401,1155,932.03,101.91
桃園區,龍鳳里,2365,2208541,934,704,408,1212,841.28,90.09
桃園區,龍安里,1757,1779712,1013,730,418,1272,930.33,91.85
桃園區,自強里,2490,3180848,1277,772,448,1441,4153.09,325.11
桃園區,中信里,1990,1878772,944,679,398,1179,915.25,96.94
桃園區,長德里,1651,1592796,965,651,390,1151,1046.79,108.50
桃園區,中平里,1463,1333663,912,631,380,1141,1046.02,114.75
桃園區,中原里,1615,1561333,967,746,417,1253,820.75,84.90
桃園區,中泰里,1458,1796406,1232,839,451,1557,1324.05,107.46
桃園區,南埔里,1615,1724820,1068,732,410,1352,1299.57,121.68
桃園區,寶慶里,2094,2728389,1303,939,488,1612,1579.28,121.21
桃園區,北埔里,1569,1663815,1060,751,436,1311,1039.71,98.05
桃園區,永和里,1,1263,1263,1263,1263,1263,0.00,0.00
桃園區,三元里,1124,1089572,969,703,387,1200,981.59,101.26
桃園區,中聖里,1984,2280958,1150,817,425,1470,1103.15,95.95
桃園區,龍壽里,1904,1774713,932,727,443,1171,788.22,84.56
桃園區,瑞慶里,1856,1874741,1010,732,427,1276,1017.37,100.72
桃園區,寶安里,2658,2913104,1096,786,428,1381,1199.81,109.47
桃園區,同德里,2114,2908788,1376,960,492,1812,1733.20,125.96
桃園區,明德里,1208,2096822,1736,876,448,1842,3121.58,179.84
桃園區,其他,15,8934,596,508,369,640,454.83,76.37
桃園區,合計,121858,123909317,1017,693,401,1233,1414.48,139.11
大溪區,興和里,486,372965,767,575,318,974,701.21,91.37
大溪區,福仁里,254,186450,734,496,319,862,825.53,112.46
大溪區,一心里,1391,1110783,799,583,356,961,739.30,92.58
大溪區,月眉里,305,215216,706,532,340,885,600.93,85.16
大溪區,康安里,320,225834,706,534,320,869,653.34,92.58
大溪區,義和里,412,285898,694,547,344,817,660.60,95.20
大溪區,福安里,525,395511,753,531,325,880,748.38,99.34
大溪區,美華里,753,506454,673,520,337,783,601.44,89.42
大溪區,復興里,164,100588,613,446,322,819,508.65,82.93
大溪區,新峰里,126,74657,593,484,296,701,609.04,102.79
大溪區,永福里,275,384156,1397,555,333,953,4729.87,338.59
大溪區,瑞興里,674,519795,771,546,349,896,1245.69,161.52
大溪區,中新里,402,267263,665,526,332,797,612.24,92.09
大溪區,仁善里,2259,1948074,862,653,378,1115,769.07,89.18
大溪區,南興里,1370,934076,682,538,349,851,577.67,84.73
大溪區,員林里,475,386708,814,573,351,1020,770.27,94.61
大溪區,瑞源里,1161,1010512,870,640,378,1095,1014.17,116.52
大溪區,僑愛里,809,668706,827,636,398,1076,707.30,85.57
大溪區,一德里,1467,1047160,714,549,344,888,643.31,90.12
大溪區,仁愛里,1502,1195693,796,613,392,1005,664.46,83.47
大溪區,仁義里,742,485466,654,522,331,835,517.06,79.03
大溪區,仁武里,918,724362,789,589,339,964,827.81,104.91
大溪區,光明里,698,516157,739,550,350,938,673.68,91.10
大溪區,三元里,881,748140,849,681,404,1113,683.03,80.43
大溪區,田心里,1368,1034848,756,569,351,940,764.19,101.02
大溪區,仁文里,1074,743751,693,538,345,876,606.18,87.53
大溪區,仁和里,1345,1114318,828,635,376,1041,693.91,83.76
大溪區,其他,1,887,887,887,887,887,0.00,0.00
大溪區,合計,22157,17204430,776,576,355,959,904.34,116.47
中壢區,後寮里,1472,1236217,840,638,397,1030,738.52,87.94
中壢區,石頭里,612,626088,1023,647,340,1227,1204.98,117.79
中壢區,新興里,1276,1176445,922,660,395,1131,927.93,100.65
中壢區,仁美里,1850,1666288,901,657,404,1126,862.74,95.79
中壢區,普仁里,1258,1112010,884,647,379,1137,813.93,92.08
中壢區,普義里,1403,1335243,952,724,423,1220,863.17,90.70
中壢區,內壢里,611,516456,845,612,397,997,915.89,108.36
中壢區,內定里,2181,1834879,841,645,391,1066,744.57,88.50
中壢區,水尾里,1138,1154587,1015,608,377,1052,3761.81,370.78
中壢區,青埔里,928,975854,1052,777,445,1293,1140.14,108.42
中壢區,新街里,696,704628,1012,641,375,1203,1333.57,131.72
中壢區,興南里,1060,1055511,996,667,387,1174,1186.78,119.18
中壢區,興國里,657,562848,857,600,345,1055,926.31,108.13
中壢區,中壢里,231,187271,811,599,355,982,750.79,92.61
中壢區,中榮里,278,313291,1127,613,351,1128,2601.22,230.82
中壢區,中建里,384,310194,808,540,328,897,926.12,114.65
中壢區,舊明里,498,422427,848,576,313,963,1109.65,130.82
中壢區,新明里,1177,994058,845,634,365,1052,866.39,102.58
中壢區,三民里,914,790264,865,609,371,1033,931.22,107.70
中壢區,五權里,2097,2234959,1066,716,405,1293,1608.48,150.92
中壢區,芝芭里,864,875245,1013,692,404,1246,1119.66,110.53
中壢區,內厝里,1489,1515404,1018,685,397,1245,1256.70,123.48
中壢區,月眉里,1364,1116963,819,609,382,1018,805.59,98.38
中壢區,山東里,1018,831447,817,601,384,969,808.63,99.01
中壢區,過嶺里,1666,1795478,1078,775,451,1339,1081.39,100.34
中壢區,興仁里,1085,886259,817,615,379,1007,845.69,103.53
中壢區,中原里,1235,1045310,846,647,381,1109,723.88,85.52
中壢區,自立里,1409,1123518,797,620,393,1016,721.18,90.44
中壢區,洽溪里,982,1052774,1072,745,432,1422,1011.12,94.31
中壢區,中堅里,1132,1051600,929,755,448,1236,703.59,75.74
中壢區,永興里,307,242277,789,565,359,898,936.74,118.70
中壢區,光明里,1885,2014497,1069,676,400,1318,1808.54,169.23
中壢區,中央里,1343,1345331,1002,664,390,1243,1093.52,109.16
中壢區,龍岡里,1456,1181021,811,653,399,1063,650.23,80.16
中壢區,中正里,1533,1338447,873,635,400,1062,802.91,91.96
中壢區,篤行里,835,819505,981,715,416,1221,909.65,92.68
中壢區,信義里,1590,1661150,1045,760,454,1310,1243.14,118.99
中壢區,忠義里,1237,1183857,957,732,421,1224,930.28,97.20
中壢區,忠福里,2562,2310045,902,660,398,1137,880.33,97.63
中壢區,東興里,1093,1114196,1019,677,379,1184,2160.79,211.97
中壢區,復興里,3169,2927973,924,716,441,1169,781.41,84.57
中壢區,自強里,1192,1153759,968,686,397,1208,942.86,97.41
中壢區,龍平里,771,607464,788,633,396,1013,624.50,79.26
中壢區,成功里,1352,1167935,864,637,410,1061,955.14,110.57
中壢區,龍興里,1378,1205639,875,684,408,1135,762.78,87.18
中壢區,仁愛里,974,888621,912,646,385,1132,927.12,101.62
中壢區,仁德里,911,678342,745,622,383,1010,524.02,70.37
中壢區,仁祥里,816,586998,719,577,367,915,586.14,81.48
中壢區,龍東里,1420,1143448,805,644,384,1043,671.19,83.35
中壢區,龍昌里,1692,1290594,763,600,394,981,572.96,75.12
中壢區,文化里,3021,2724821,902,646,400,1123,908.49,100.72
中壢區,振興里,1460,1181652,809,609,400,1010,682.28,84.30
