鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
宜蘭市,南門里,402,299969,746,560,331,956,678.88,90.98
宜蘭市,建軍里,528,437401,828,606,361,1067,723.17,87.3
宜蘭市,民族里,741,594755,803,604,349,1042,730.62,91.03
宜蘭市,思源里,1548,1582214,1022,785,407,1345,928.34,90.83
宜蘭市,負郭里,962,791109,822,630,349,1067,727.58,88.47
宜蘭市,神農里,938,695610,742,574,327,954,626.37,84.46
宜蘭市,民權里,533,442364,830,605,360,1129,721.64,86.95
宜蘭市,慈安里,506,330166,653,541,319,846,481.75,73.83
宜蘭市,新民里,487,344809,708,544,298,924,621.56,87.79
宜蘭市,東門里,272,222178,817,548,326,1009,847.3,103.73
宜蘭市,小東里,436,310255,712,534,336,959,568.74,79.92
宜蘭市,菜園里,393,274158,698,534,342,899,588.53,84.37
宜蘭市,孝廉里,309,239277,774,623,382,1010,635.86,82.11
宜蘭市,中山里,273,197952,725,575,338,940,628.26,86.64
宜蘭市,北門里,305,206960,679,589,330,880,483.05,71.19
宜蘭市,西門里,454,322605,711,550,332,917,599.52,84.37
宜蘭市,凱旋里,385,288985,751,551,348,890,797.55,106.25
宜蘭市,南津里,566,507763,897,655,350,1217,775.37,86.43
宜蘭市,建業里,510,564788,1107,689,368,1462,1124.31,101.52
宜蘭市,南橋里,339,303653,896,632,351,1173,820.81,91.64
宜蘭市,進士里,715,647623,906,607,364,1042,1280.46,141.37
宜蘭市,茭白里,606,454105,749,593,365,979,605.02,80.74
宜蘭市,新生里,692,458410,662,529,311,840,591.4,89.28
宜蘭市,梅洲里,857,570483,666,511,299,870,655.26,98.44
宜蘭市,北津里,622,448811,722,564,328,913,698.96,96.87
宜蘭市,東村里,690,596258,864,678,364,1184,670.66,77.61
宜蘭市,延平里,979,871544,890,658,383,1181,753.16,84.6
宜蘭市,黎明里,590,547412,928,667,417,1108,1225.35,132.07
宜蘭市,七張里,372,256229,689,530,314,779,760.6,110.43
宜蘭市,復興里,889,719670,810,612,360,1030,868.7,107.31
宜蘭市,文化里,1042,893571,858,632,370,1094,756.24,88.19
宜蘭市,七結里,845,853568,1010,752,418,1298,1109.54,109.84
宜蘭市,大新里,227,173766,765,562,328,874,819.14,107.01
宜蘭市,中興里,836,572301,685,539,342,881,518.68,75.77
宜蘭市,成功里,1007,870963,865,685,391,1151,684.41,79.13
宜蘭市,泰山里,584,411618,705,552,341,864,590.38,83.76
宜蘭市,新東里,968,790102,816,603,345,986,945.73,115.87
宜蘭市,擺厘里,1023,889421,869,665,411,1096,755.12,86.85
宜蘭市,其他,2,1031,516,516,428,603,247.35,47.97
宜蘭市,合計,24433,19983859,818,609,355,1041,794.15,97.1
頭城鎮,石城里,48,30613,638,493,272,833,577.61,90.57
頭城鎮,大里里,113,69802,618,523,338,798,433.58,70.19
頭城鎮,大溪里,142,90441,637,522,293,747,671.71,105.46
頭城鎮,更新里,239,150296,629,478,288,683,695.78,110.64
頭城鎮,合興里,64,38797,606,533,340,686,444.45,73.32
頭城鎮,外澳里,160,156144,976,485,317,848,2671.93,273.79
頭城鎮,港口里,173,106980,618,430,294,704,630.11,101.9
頭城鎮,武營里,385,303432,788,564,337,979,745.62,94.61
頭城鎮,城東里,195,131501,674,533,302,861,568.35,84.28
頭城鎮,城西里,168,119910,714,510,321,834,743.13,104.12
頭城鎮,城南里,179,131554,735,545,348,869,641.07,87.23
頭城鎮,城北里,129,95272,739,614,351,999,526.86,71.34
頭城鎮,大坑里,301,181839,604,515,326,769,463.89,76.79
頭城鎮,竹安里,449,270967,603,489,314,705,507.54,84.1
頭城鎮,新建里,534,386192,723,556,342,912,610.83,84.46
頭城鎮,拔雅里,521,898840,1725,545,359,860,22546.87,1306.9
頭城鎮,福成里,232,155191,669,521,356,758,571.65,85.46
頭城鎮,金面里,426,282426,663,544,319,837,522.94,78.88
頭城鎮,金盈里,186,131070,705,540,333,859,579.86,82.29
頭城鎮,頂埔里,366,240433,657,493,297,784,717.12,109.16
頭城鎮,下埔里,221,146436,663,525,326,819,542.14,81.82
頭城鎮,中崙里,263,170834,650,534,308,858,518.83,79.87
頭城鎮,二城里,293,178568,609,500,296,786,489.48,80.32
頭城鎮,龜山里,93,57534,619,537,361,799,417.79,67.53
頭城鎮,其他,0,0,0,0,0,0,0,0
頭城鎮,合計,5880,4525072,770,521,320,822,6749.85,877.09
礁溪鄉,大忠村,752,535138,712,556,331,876,630.54,88.61
礁溪鄉,大義村,148,92693,626,515,283,836,499.83,79.81
礁溪鄉,二龍村,303,209526,692,532,334,934,519.81,75.17
礁溪鄉,德陽村,1164,921637,792,581,348,1009,768.59,97.07
礁溪鄉,白雲村,419,285270,681,526,298,832,627.15,92.12
礁溪鄉,玉石村,566,442629,782,550,318,897,1326.72,169.65
礁溪鄉,六結村,413,358245,867,601,357,1092,902.65,104.06
礁溪鄉,時潮村,352,241896,687,534,328,821,583.91,84.97
礁溪鄉,林美村,267,172525,646,511,323,771,562.39,87.04
礁溪鄉,三民村,655,389842,595,495,315,748,445.18,74.8
礁溪鄉,玉田村,567,392095,692,537,316,875,553.35,80.02
礁溪鄉,白鵝村,205,146008,712,501,328,816,692.77,97.27
礁溪鄉,玉光村,269,199741,743,526,320,944,770.27,103.74
礁溪鄉,光武村,354,271811,768,572,339,915,794.51,103.48
礁溪鄉,匏崙村,178,118585,666,557,350,831,516.83,77.58
礁溪鄉,二結村,102,67795,665,536,337,845,566.48,85.23
礁溪鄉,吳沙村,693,541435,781,567,353,936,792.29,101.41
礁溪鄉,龍潭村,880,577344,656,524,320,846,523.29,79.76
礁溪鄉,其他,1,542,542,542,542,542,0,0
礁溪鄉,合計,8288,5964757,720,544,329,892,726.98,101.01
壯圍鄉,東港村,175,105368,602,519,328,741,476.25,79.1
壯圍鄉,復興村,337,208315,618,538,318,813,416.13,67.32
壯圍鄉,吉祥村,666,490073,736,573,337,918,646.82,87.9
壯圍鄉,新南村,223,143520,644,516,325,820,468.64,72.82
壯圍鄉,美福村,422,297751,706,553,323,903,561,79.51
壯圍鄉,大福村,406,273282,673,548,333,822,637.38,94.69
壯圍鄉,新社村,227,188059,828,536,307,887,1486.97,179.49
壯圍鄉,忠孝村,606,415913,686,518,306,859,610.62,88.97
壯圍鄉,功勞村,324,255227,788,600,377,1029,649.08,82.4
壯圍鄉,永鎮村,149,83747,562,461,279,729,444.62,79.11
壯圍鄉,過嶺村,319,207339,650,493,315,762,631.44,97.15
壯圍鄉,美城村,538,415653,773,565,339,911,752.51,97.4
壯圍鄉,古亭村,406,278813,687,542,306,875,557.62,81.2
壯圍鄉,古結村,282,205735,730,577,350,867,637.71,87.41
壯圍鄉,其他,0,0,0,0,0,0,0,0
壯圍鄉,合計,5080,3568795,703,544,327,864,673.27,95.84
員山鄉,員山村,1667,1379987,828,604,357,988,1628.19,196.68
員山鄉,尚德村,581,426766,735,580,354,886,698.37,95.08
員山鄉,內城村,352,243626,692,474,294,755,1860.63,268.83
