鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
斗六市,忠孝里,467,399933,856,634,345,1118,1366.06,159.51
斗六市,仁愛里,302,310897,1029,624,320,1069,2368.20,230.04
斗六市,信義里,226,175691,777,538,318,989,823.37,105.91
斗六市,四維里,210,170542,812,519,294,875,1523.64,187.62
斗六市,太平里,254,199883,787,579,291,1067,820.54,104.27
斗六市,中和里,253,219742,869,645,378,1209,749.13,86.25
斗六市,光興里,250,192986,772,497,265,862,1382.50,179.09
斗六市,三平里,1548,1484657,959,697,390,1243,923.69,96.31
斗六市,八德里,967,756600,782,575,367,949,829.23,105.98
斗六市,鎮北里,894,708709,793,600,363,1002,691.82,87.27
斗六市,龍潭里,548,672049,1226,768,440,1728,1194.51,97.40
斗六市,鎮南里,1214,986074,812,614,369,1035,708.17,87.19
斗六市,林頭里,1160,951195,820,618,375,1028,811.94,99.02
斗六市,重光里,618,417002,675,499,325,827,717.60,106.35
斗六市,溝埧里,208,181079,871,649,408,1163,664.32,76.31
斗六市,江厝里,539,369902,686,536,345,893,601.24,87.61
斗六市,三光里,117,98818,845,606,387,950,1237.61,146.53
斗六市,崙峰里,754,686406,910,661,386,1180,943.09,103.60
斗六市,嘉東里,436,389029,892,662,393,1224,720.82,80.79
斗六市,久安里,622,496217,798,599,354,1000,700.19,87.77
斗六市,長平里,423,297703,704,561,347,907,564.07,80.15
斗六市,保庄里,1681,1479041,880,685,408,1179,712.42,80.97
斗六市,虎溪里,1681,2110635,1256,610,366,1063,13630.41,1085.58
斗六市,梅林里,377,318240,844,529,344,863,2570.46,304.51
斗六市,湖山里,239,182339,763,525,339,795,1808.38,237.03
斗六市,榴中里,1261,875459,694,548,363,863,585.54,84.34
斗六市,榴北里,275,170429,620,546,366,799,395.69,63.85
斗六市,榴南里,545,381148,699,563,368,874,599.24,85.68
斗六市,長安里,787,520486,661,529,336,799,611.21,92.42
斗六市,溪洲里,834,622629,747,571,375,891,621.49,83.25
斗六市,十三里,252,177093,703,528,317,872,702.24,99.93
斗六市,鎮東里,1644,1400704,852,643,372,1096,737.89,86.61
斗六市,鎮西里,1158,1012236,874,623,377,1079,856.46,97.98
斗六市,社口里,693,543512,784,573,339,983,833.58,106.28
斗六市,公正里,942,817103,867,646,381,1058,852.35,98.26
斗六市,成功里,774,683834,884,650,402,1112,828.57,93.78
斗六市,明德里,1074,894478,833,652,387,1058,684.17,82.15
斗六市,公誠里,758,639448,844,598,365,1026,1311.87,155.51
