,site_id,village,edu_age_15up_total,EducationWeight,Merriage/NoMerriage,ordinary/single,FamilyWeight,18-38,39-59,60-80,81-100,Total_Ratio,18-59/60-100,Agree_x,Useful_x,Agree_y,Useful_y
0,南投縣中寮鄉,中寮村,693,3.3852813852813854,4.214285714285714,2.1341463414634148,3.821011673151751,189.0,249.0,177.0,45.0,1.198224852071006,2.118181818181818,138,351,276,342
1,南投縣中寮鄉,內城村,474,3.2320675105485233,4.1923076923076925,1.5121951219512195,3.5776699029126213,126.0,181.0,129.0,29.0,1.2763157894736843,2.131182795698925,114,240,203,253
2,南投縣中寮鄉,八仙村,821,3.3520097442143726,3.8934010152284264,1.792,3.687679083094556,231.0,292.0,196.0,62.0,1.154394299287411,2.1139564660691423,181,383,301,381
3,南投縣中寮鄉,和興村,685,3.1854014598540146,4.64748201438849,1.6371681415929205,3.5838926174496644,161.0,269.0,184.0,46.0,1.280373831775701,2.1742424242424243,170,378,319,380
4,南投縣中寮鄉,崁頂村,498,3.3453815261044175,4.305555555555555,1.5974025974025974,3.655,126.0,192.0,129.0,29.0,1.3710407239819005,2.1281512605042017,106,240,194,236
5,南投縣中寮鄉,廣福村,515,3.116504854368932,4.4672897196261685,1.5168539325842696,3.4910714285714284,118.0,195.0,138.0,40.0,1.3277310924369747,2.203665987780041,114,232,214,243
6,南投縣中寮鄉,廣興村,840,3.354761904761905,4.17741935483871,1.3660130718954249,3.574585635359116,225.0,315.0,233.0,48.0,1.1908212560386473,2.1266747868453106,246,487,389,473
7,南投縣中寮鄉,復興村,294,3.3299319727891157,4.014285714285714,1.5348837209302326,3.9724770642201834,69.0,131.0,76.0,14.0,1.0714285714285714,2.1206896551724137,85,182,149,180
8,南投縣中寮鄉,永和村,549,3.2877959927140257,4.575221238938053,1.488888888888889,3.6339285714285716,122.0,182.0,182.0,43.0,1.4739130434782608,2.275992438563327,99,250,207,256
9,南投縣中寮鄉,永平村,1801,3.524153248195447,4.053398058252427,1.904382470119522,3.6323731138545954,559.0,642.0,425.0,102.0,1.0381836945304437,2.040509259259259,432,972,737,976
10,南投縣中寮鄉,永福村,1375,3.541818181818182,3.4668508287292816,2.027173913043478,3.673249551166966,453.0,516.0,290.0,67.0,1.063448275862069,1.9781297134238311,267,707,561,709
11,南投縣中寮鄉,永芳村,468,3.286324786324786,4.29126213592233,1.5657894736842106,3.5487179487179485,106.0,196.0,115.0,43.0,1.2142857142857142,2.2065217391304346,129,273,219,270
12,南投縣中寮鄉,清水村,917,3.13958560523446,4.061320754716981,1.5405405405405406,3.699468085106383,244.0,348.0,245.0,59.0,1.2522522522522523,2.1328125,223,484,364,468
13,南投縣中寮鄉,爽文村,501,3.3512974051896207,3.62015503875969,1.7125,3.5714285714285716,151.0,171.0,140.0,27.0,1.2789699570815452,2.087934560327198,150,280,215,278
14,南投縣中寮鄉,福盛村,733,3.180081855388813,4.818181818181818,1.3448275862068966,3.3970588235294117,161.0,283.0,206.0,63.0,1.2485380116959064,2.2398316970546985,152,369,289,362
15,南投縣中寮鄉,義和村,1106,3.41500904159132,3.4794520547945207,2.2419354838709675,3.818407960199005,360.0,404.0,250.0,62.0,1.1459074733096086,2.013011152416357,288,650,521,646
16,南投縣中寮鄉,龍安村,711,3.278481012658228,4.060975609756097,1.487603305785124,3.617940199335548,197.0,246.0,174.0,67.0,1.2228739002932552,2.162280701754386,177,364,286,360
17,南投縣中寮鄉,龍岩村,663,3.336349924585219,3.8980891719745223,1.7745098039215685,3.5618374558303887,154.0,260.0,178.0,51.0,1.202416918429003,2.1959564541213066,156,367,304,357
