statistic_yyy,site_id,village,household_single_total,home_group_02,home_group_03,home_group_04,home_group_05,home_group_06,home_group_07,home_group_08,home_group_09,home_group_10up,household_business_total
統計年,區域別,村里,1人家戶,2人家戶,3人家戶,4人家戶,5人家戶,6人家戶,7人家戶,8人家戶,9人家戶,10人以上家戶,共同事業戶
106,新北市板橋區,留侯里,238,156,133,84,39,15,3,4,1,1,0
106,新北市板橋區,流芳里,251,131,112,70,44,14,14,1,2,1,0
106,新北市板橋區,赤松里,108,75,59,51,16,7,2,2,2,2,0
106,新北市板橋區,黃石里,139,112,83,47,23,13,8,4,5,2,0
106,新北市板橋區,挹秀里,296,190,132,97,29,16,7,3,4,6,0
106,新北市板橋區,湳興里,916,495,388,296,132,50,20,16,6,8,0
106,新北市板橋區,新興里,702,321,213,155,69,33,15,3,2,4,0
106,新北市板橋區,社後里,2922,800,526,356,150,69,29,17,4,4,0
106,新北市板橋區,香社里,465,316,278,309,127,56,17,16,4,4,0
106,新北市板橋區,中正里,494,291,311,274,142,61,25,12,2,3,0
106,新北市板橋區,自強里,638,457,409,320,146,44,22,15,3,2,0
106,新北市板橋區,自立里,329,222,222,181,98,23,17,4,0,1,0
106,新北市板橋區,光華里,386,238,208,166,64,24,16,3,3,0,0
106,新北市板橋區,國光里,547,336,317,225,85,28,10,5,2,1,0
106,新北市板橋區,港尾里,318,238,231,191,73,35,15,5,4,4,0
106,新北市板橋區,金華里,413,284,298,273,112,55,24,10,4,3,0
106,新北市板橋區,港德里,640,422,356,289,122,55,33,12,6,1,0
106,新北市板橋區,民權里,376,237,209,140,71,24,18,7,4,1,0
106,新北市板橋區,建國里,495,288,267,206,101,41,25,4,2,4,0
106,新北市板橋區,漢生里,524,363,320,238,114,61,19,16,3,4,0
106,新北市板橋區,公?里,449,306,299,216,117,51,27,9,5,4,0
106,新北市板橋區,新民里,511,390,385,243,102,54,18,14,5,9,0
106,新北市板橋區,幸福里,457,328,266,260,131,45,20,6,3,4,0
106,新北市板橋區,忠誠里,563,416,326,225,100,38,25,6,3,1,0
106,新北市板橋區,百壽里,357,239,247,125,65,26,15,2,6,2,0
106,新北市板橋區,介壽里,385,297,246,153,80,43,10,8,5,2,0
106,新北市板橋區,新埔里,331,188,142,125,51,21,11,5,1,2,0
106,新北市板橋區,華江里,1183,654,630,466,143,60,29,16,8,8,0
106,新北市板橋區,江翠里,578,372,339,291,140,67,28,9,6,3,0
106,新北市板橋區,純翠里,649,426,404,359,149,61,33,9,4,7,0
106,新北市板橋區,溪頭里,821,496,458,375,163,67,29,14,3,2,0
106,新北市板橋區,聯翠里,728,293,280,230,72,33,12,7,1,1,0
106,新北市板橋區,宏翠里,934,478,322,262,109,44,15,5,4,3,0
106,新北市板橋區,仁翠里,360,220,189,185,92,31,19,6,3,5,0
106,新北市板橋區,新翠里,1001,590,628,508,216,79,48,10,5,1,0
106,新北市板橋區,吉翠里,391,275,250,227,131,53,25,7,6,3,0
106,新北市板橋區,德翠里,736,521,557,552,214,85,30,11,6,3,0
106,新北市板橋區,滿翠里,371,228,208,184,83,40,19,7,2,3,0
106,新北市板橋區,明翠里,701,394,333,286,134,52,26,13,4,1,1
106,新北市板橋區,松翠里,495,296,236,191,112,33,15,6,4,0,0
106,新北市板橋區,柏翠里,726,338,282,237,104,51,19,7,2,2,0
106,新北市板橋區,龍翠里,688,386,383,318,134,69,26,6,7,2,0
106,新北市板橋區,華翠里,386,284,322,224,99,50,20,7,3,1,0
106,新北市板橋區,忠翠里,1523,918,922,710,230,77,33,8,4,9,0
106,新北市板橋區,嵐翠里,313,204,191,137,73,30,12,5,4,4,0
106,新北市板橋區,文翠里,517,327,287,262,109,48,25,10,1,0,0
106,新北市板橋區,青翠里,419,255,224,168,88,35,14,5,3,2,0
106,新北市板橋區,懷翠里,652,440,455,403,156,88,43,10,4,2,0
106,新北市板橋區,福翠里,213,112,110,74,31,14,6,2,2,0,0
106,新北市板橋區,港嘴里,825,471,479,376,165,62,30,13,6,2,0
106,新北市板橋區,振興里,542,329,304,259,143,55,27,12,5,7,0
106,新北市板橋區,振義里,539,317,323,256,112,54,25,11,5,2,0
106,新北市板橋區,光復里,497,270,233,204,102,32,17,5,3,1,0
106,新北市板橋區,埔墘里,938,512,478,366,153,80,24,11,10,1,0
106,新北市板橋區,長壽里,289,210,213,179,80,42,14,6,3,5,0
106,新北市板橋區,福壽里,393,241,274,200,101,30,14,13,2,2,0
106,新北市板橋區,海山里,609,632,675,512,210,103,57,33,12,14,0
106,新北市板橋區,九如里,313,242,203,171,92,29,16,10,4,4,0
106,新北市板橋區,玉光里,736,469,424,337,141,58,23,12,1,3,0
106,新北市板橋區,光仁里,281,201,216,171,89,44,26,13,6,4,0
106,新北市板橋區,埤墘里,566,348,390,281,110,50,20,8,6,3,0
106,新北市板橋區,永安里,441,300,312,205,96,39,14,4,1,0,0
106,新北市板橋區,雙玉里,438,323,341,261,116,46,28,11,5,3,0
106,新北市板橋區,廣新里,327,256,279,211,132,56,19,9,1,5,0
106,新北市板橋區,深丘里,1304,793,770,516,198,87,35,17,7,8,0
106,新北市板橋區,香丘里,417,334,293,253,97,41,21,7,6,3,0
106,新北市板橋區,西安里,313,224,216,164,65,35,18,9,3,2,0
106,新北市板橋區,東丘里,447,314,352,281,145,75,31,18,11,4,0
106,新北市板橋區,長安里,413,323,436,303,133,53,36,16,5,3,0
106,新北市板橋區,福丘里,943,492,382,266,94,37,13,5,3,6,0
106,新北市板橋區,福祿里,496,361,314,250,97,33,27,4,2,5,0
106,新北市板橋區,民族里,416,417,448,295,112,48,27,20,12,7,0
106,新北市板橋區,國泰里,466,313,287,221,95,39,21,10,1,3,0
106,新北市板橋區,福德里,620,423,395,304,145,59,36,11,4,7,0
106,新北市板橋區,景星里,593,296,260,211,76,39,11,5,1,3,0
106,新北市板橋區,福星里,403,291,261,214,108,42,22,10,7,2,0
106,新北市板橋區,鄉雲里,611,318,269,212,84,34,27,6,3,6,1
106,新北市板橋區,廣德里,771,543,551,442,173,73,37,18,6,5,0
106,新北市板橋區,大豐里,540,371,340,299,138,71,24,9,6,2,0
106,新北市板橋區,重慶里,927,650,702,585,223,112,45,25,8,5,0
106,新北市板橋區,仁愛里,308,261,267,188,88,30,24,9,4,1,0
106,新北市板橋區,和平里,559,313,355,303,78,29,12,2,2,1,0
106,新北市板橋區,廣福里,485,287,297,300,110,50,26,7,8,1,0
106,新北市板橋區,華興里,527,322,317,249,101,50,22,18,2,3,0
106,新北市板橋區,華貴里,317,217,184,171,74,36,19,6,3,2,0
106,新北市板橋區,華德里,1054,612,566,455,149,70,28,15,6,6,0
106,新北市板橋區,華東里,1239,705,579,447,150,46,25,7,5,4,0
106,新北市板橋區,信義里,612,347,337,246,102,51,24,9,8,0,0
106,新北市板橋區,浮洲里,439,265,236,210,121,77,23,11,9,10,2
106,新北市板橋區,華中里,523,360,402,351,173,74,30,11,6,3,0
106,新北市板橋區,僑中里,408,255,323,285,155,47,25,9,3,2,0
106,新北市板橋區,中山里,819,456,355,303,124,52,21,8,5,0,0
106,新北市板橋區,復興里,98,74,45,59,28,5,3,4,0,1,1
106,新北市板橋區,大安里,487,266,314,240,130,48,20,14,7,2,0
106,新北市板橋區,福安里,337,183,207,163,67,26,15,3,2,2,0
106,新北市板橋區,聚安里,583,390,414,358,155,57,36,19,4,3,0
106,新北市板橋區,龍安里,331,236,205,145,88,43,20,9,6,1,0
106,新北市板橋區,崑崙里,1065,677,749,744,261,115,65,19,14,11,0
106,新北市板橋區,溪洲里,586,444,426,432,172,84,27,13,8,8,0
106,新北市板橋區,溪北里,381,283,274,238,103,38,18,11,2,5,0
106,新北市板橋區,香雅里,318,209,188,155,66,33,18,7,1,2,0
106,新北市板橋區,新生里,379,325,380,275,120,55,35,8,2,3,0
106,新北市板橋區,文德里,330,247,244,201,90,37,18,8,1,1,0
106,新北市板橋區,文化里,518,289,256,179,96,37,14,7,5,5,0
106,新北市板橋區,新海里,326,225,239,231,134,61,23,9,4,3,0
106,新北市板橋區,莒光里,389,246,206,184,81,36,15,4,1,4,0
106,新北市板橋區,富貴里,240,175,183,162,58,27,9,7,3,1,0
106,新北市板橋區,正泰里,280,235,231,195,92,41,24,8,3,2,0
106,新北市板橋區,民生里,314,190,176,132,57,27,13,5,2,2,0
106,新北市板橋區,後埔里,594,342,293,199,109,39,14,8,4,2,0
106,新北市板橋區,華福里,210,159,151,145,76,19,13,4,1,1,0
106,新北市板橋區,堂春里,352,287,315,294,143,58,34,13,9,4,0
106,新北市板橋區,成和里,737,489,547,476,166,74,27,13,6,6,0
106,新北市板橋區,光榮里,303,237,228,134,77,26,9,5,1,2,0
106,新北市板橋區,民安里,277,211,160,112,52,28,15,3,1,2,0
106,新北市板橋區,陽明里,320,229,202,179,72,33,14,8,3,5,0
106,新北市板橋區,朝陽里,371,267,241,193,115,53,15,11,3,3,0
106,新北市板橋區,松柏里,345,187,174,142,61,26,12,6,0,2,0
106,新北市板橋區,文聖里,382,294,303,265,116,45,19,8,4,2,0
106,新北市板橋區,居仁里,364,226,236,240,99,38,23,3,4,0,0
106,新北市板橋區,莊敬里,433,343,415,304,92,30,14,8,4,3,0
106,新北市板橋區,東安里,191,181,234,162,70,33,13,15,7,2,0
106,新北市板橋區,五權里,441,332,308,286,128,49,23,5,4,1,0
106,新北市板橋區,溪福里,1242,918,1149,1141,406,174,80,33,13,7,0
106,新北市板橋區,大觀里,359,222,280,270,124,51,19,8,7,3,0
106,新北市板橋區,歡園里,152,85,98,68,37,26,6,4,2,2,0
106,新北市三重區,大有里,633,359,390,316,153,82,40,11,6,5,0
106,新北市三重區,二重里,162,107,116,98,58,21,6,8,4,1,0
106,新北市三重區,頂崁里,283,171,160,135,68,37,20,2,1,3,0
106,新北市三重區,谷王里,113,56,59,58,36,14,6,3,2,3,0
106,新北市三重區,中興里,609,270,264,212,99,65,24,10,4,7,0
106,新北市三重區,德厚里,74,37,27,16,6,4,2,3,1,0,0
106,新北市三重區,成功里,1120,544,481,378,142,55,29,11,6,3,0
106,新北市三重區,福祉里,845,465,436,321,143,59,25,7,2,1,0
106,新北市三重區,福民里,446,278,232,204,114,58,18,9,3,3,0
106,新北市三重區,過田里,3063,844,571,396,177,72,27,6,5,2,0
106,新北市三重區,錦田里,304,182,125,120,60,25,14,6,3,0,0
106,新北市三重區,重明里,499,299,288,219,97,37,15,12,5,3,0
106,新北市三重區,光田里,782,411,325,255,98,44,17,8,4,3,0
106,新北市三重區,光陽里,941,522,476,402,161,54,31,11,6,1,0
