statistic_yyy,site_id,village,household_ordinary_total,household_business_total,household_single_total,household_ordinary_m,household_business_m,household_single_m,household_ordinary_f,household_business_f,household_single_f
統計年,區域別,村里名稱,共同生活戶_戶數,共同事業戶_戶數,單獨生活戶_戶數,共同生活戶_男,共同事業戶_男,單獨生活戶_男,共同生活戶_女,共同事業戶_女,單獨生活戶_女
106,新北市板橋區,留侯里,436,0,238,669,0,106,738,0,132
106,新北市板橋區,流芳里,389,0,251,620,0,110,696,0,141
106,新北市板橋區,赤松里,216,0,108,348,0,57,375,0,51
106,新北市板橋區,黃石里,297,0,139,501,0,67,507,0,72
106,新北市板橋區,挹秀里,484,0,296,760,0,144,828,0,152
106,新北市板橋區,湳興里,1411,0,916,2261,0,428,2444,0,488
106,新北市板橋區,新興里,815,0,702,1308,0,294,1327,0,408
106,新北市板橋區,社後里,1955,0,2922,3084,0,1990,3108,0,932
106,新北市板橋區,香社里,1127,0,465,1994,0,238,2003,0,227
106,新北市板橋區,中正里,1121,0,494,1957,0,242,2049,0,252
106,新北市板橋區,自強里,1418,0,638,2312,0,300,2426,0,338
106,新北市板橋區,自立里,768,0,329,1264,0,166,1359,0,163
106,新北市板橋區,光華里,722,0,386,1197,0,176,1194,0,210
106,新北市板橋區,國光里,1009,0,547,1556,0,280,1698,0,267
106,新北市板橋區,港尾里,796,0,318,1306,0,134,1425,0,184
106,新北市板橋區,金華里,1063,0,413,1835,0,193,1924,0,220
106,新北市板橋區,港德里,1296,0,640,2183,0,299,2216,0,341
106,新北市板橋區,民權里,711,0,376,1168,0,190,1220,0,186
106,新北市板橋區,建國里,938,0,495,1541,0,250,1678,0,245
106,新北市板橋區,漢生里,1138,0,524,1881,0,268,2023,0,256
106,新北市板橋區,公?里,1034,0,449,1775,0,227,1842,0,222
106,新北市板橋區,新民里,1220,0,511,1997,0,265,2123,0,246
106,新北市板橋區,幸福里,1063,0,457,1830,0,232,1846,0,225
106,新北市板橋區,忠誠里,1140,0,563,1786,0,276,1912,0,287
106,新北市板橋區,百壽里,727,0,357,1153,0,163,1242,0,194
106,新北市板橋區,介壽里,844,0,385,1323,0,195,1479,0,190
106,新北市板橋區,新埔里,546,0,331,888,0,159,941,0,172
106,新北市板橋區,華江里,2014,0,1183,3131,0,494,3495,0,689
106,新北市板橋區,江翠里,1255,0,578,2178,0,285,2207,0,293
106,新北市板橋區,純翠里,1452,0,649,2468,0,307,2558,0,342
106,新北市板橋區,溪頭里,1607,0,821,2710,0,385,2735,0,436
106,新北市板橋區,聯翠里,929,0,728,1478,0,313,1586,0,415
106,新北市板橋區,宏翠里,1242,0,934,1921,0,418,2073,0,516
106,新北市板橋區,仁翠里,750,0,360,1295,0,161,1358,0,199
106,新北市板橋區,新翠里,2085,0,1001,3465,0,450,3659,0,551
106,新北市板橋區,吉翠里,977,0,391,1722,0,186,1774,0,205
106,新北市板橋區,德翠里,1979,0,736,3336,0,385,3548,0,351
106,新北市板橋區,滿翠里,774,0,371,1331,0,157,1378,0,214
106,新北市板橋區,明翠里,1243,1,701,2073,1,333,2172,0,368
106,新北市板橋區,松翠里,893,0,495,1461,0,235,1550,0,260
106,新北市板橋區,柏翠里,1042,0,726,1693,0,332,1831,0,394
106,新北市板橋區,龍翠里,1331,0,688,2233,0,326,2361,0,362
106,新北市板橋區,華翠里,1010,0,386,1668,0,177,1791,0,209
106,新北市板橋區,忠翠里,2911,0,1523,4541,0,648,4939,0,875
106,新北市板橋區,嵐翠里,660,0,313,1145,0,153,1130,0,160
106,新北市板橋區,文翠里,1069,0,517,1811,0,249,1849,0,268
106,新北市板橋區,青翠里,794,0,419,1376,0,232,1313,0,187
106,新北市板橋區,懷翠里,1601,0,652,2747,0,328,2859,0,324
106,新北市板橋區,福翠里,351,0,213,582,0,108,583,0,105
106,新北市板橋區,港嘴里,1604,0,825,2674,0,422,2796,0,403
106,新北市板橋區,振興里,1141,0,542,1987,0,268,2065,0,274
106,新北市板橋區,振義里,1105,0,539,1879,0,259,1963,0,280
106,新北市板橋區,光復里,867,0,497,1504,0,247,1457,0,250
106,新北市板橋區,埔墘里,1635,0,938,2661,0,417,2862,0,521
106,新北市板橋區,長壽里,752,0,289,1314,0,142,1340,0,147
106,新北市板橋區,福壽里,877,0,393,1484,0,199,1545,0,194
106,新北市板橋區,海山里,2248,0,609,3773,0,298,4152,0,311
106,新北市板橋區,九如里,771,0,313,1290,0,131,1390,0,182
106,新北市板橋區,玉光里,1468,0,736,2325,0,346,2588,0,390
106,新北市板橋區,光仁里,770,0,281,1402,0,151,1428,0,130
106,新北市板橋區,埤墘里,1216,0,566,1997,0,261,2131,0,305
106,新北市板橋區,永安里,971,0,441,1576,0,205,1633,0,236
106,新北市板橋區,雙玉里,1134,0,438,1893,0,209,2035,0,229
106,新北市板橋區,廣新里,968,0,327,1703,0,155,1758,0,172
106,新北市板橋區,深丘里,2431,0,1304,3950,0,571,4117,0,733
106,新北市板橋區,香丘里,1055,0,417,1741,0,204,1836,0,213
106,新北市板橋區,西安里,736,0,313,1230,0,160,1302,0,153
